,0
0,8687.0
1,8947.0
2,9044.0
3,8943.0
4,8842.0
5,8891.0
6,8506.0
7,9057.0
8,9523.0
9,9369.0
10,9384.0
11,9395.0
12,9422.0
13,9434.0
14,9452.0
15,9470.0
16,9515.0
17,9520.0
18,9531.0
19,9538.0
20,9541.0
21,9544.0
22,9548.0
23,9551.0
24,9554.0
25,9593.0
26,9604.0
27,9623.0
28,9631.0
29,9639.0
30,9753.0
31,9853.0
32,9855.0
33,9846.0
34,9812.0
35,9605.0
36,9562.0
37,9470.0
38,9392.0
39,9357.0
40,9200.0
41,9135.0
42,9048.0
43,9034.0
44,8866.0
45,8833.0
46,8804.0
47,8755.0
48,8614.0
49,8516.0
50,8522.0
51,8558.0
52,8981.0
53,8289.0
54,8466.0
55,8643.0
56,8513.0
57,8134.0
58,8088.0
59,8791.0
60,8659.0
61,8614.0
62,9859.0
63,9859.0
64,9859.0
65,9859.0
66,9859.0
67,9859.0
68,9858.0
69,9858.0
70,9858.0
71,9858.0
72,9858.0
73,9858.0
74,9857.0
75,9857.0
76,9857.0
77,9857.0
78,9856.0
79,9856.0
80,9856.0
81,9856.0
82,9856.0
83,9856.0
84,9855.0
85,9855.0
86,9855.0
87,9855.0
88,9854.0
89,9854.0
90,9854.0
91,9854.0
92,9854.0
93,9854.0
94,9854.0
95,9853.0
96,9853.0
97,9853.0
98,9853.0
99,9853.0
100,9853.0
101,9853.0
102,9853.0
103,9852.0
104,9852.0
105,9852.0
106,9852.0
107,9852.0
108,9852.0
109,9851.0
110,9851.0
111,9851.0
112,9851.0
113,9851.0
114,9851.0
115,9851.0
116,9851.0
117,9850.0
118,9850.0
119,9850.0
120,9849.0
121,9849.0
122,9849.0
123,9849.0
124,9778.0
125,9735.0
126,9723.0
127,9527.0
128,9480.0
129,9381.0
130,9326.0
131,9249.0
132,9208.0
133,9189.0
134,9165.0
135,8420.0
136,8765.0
137,8713.0
138,8674.0
139,9158.0
140,9314.0
141,8627.0
142,9329.0
143,9219.0
144,9418.0
145,9482.0
146,9547.0
147,8751.0
148,9235.0
149,8702.0
150,8154.0
151,8068.0
152,8076.0
153,8083.0
154,8984.0
155,8225.0
156,8283.0
157,8340.0
158,8318.0
159,8321.0
160,8375.0
161,8429.0
162,9513.0
163,9501.0
164,9424.0
165,9418.0
166,9309.0
167,9271.0
168,9103.0
169,9012.0
170,8991.0
171,8928.0
172,8909.0
173,8899.0
174,8892.0
175,8833.0
176,8785.0
177,8782.0
178,8937.0
179,9215.0
180,8724.0
181,9420.0
182,9526.0
183,9526.0
184,9524.0
185,9522.0
186,9521.0
187,9519.0
188,9518.0
189,9516.0
190,9514.0
191,9513.0
192,9511.0
193,9509.0
194,9508.0
195,9506.0
196,9505.0
197,9503.0
198,9501.0
199,9500.0
200,9498.0
201,9490.0
202,9485.0
203,9474.0
204,9471.0
205,9467.0
206,9466.0
207,9458.0
208,9456.0
209,9454.0
210,9451.0
211,9449.0
212,9448.0
213,9446.0
214,9444.0
215,9443.0
216,9441.0
217,9435.0
218,9434.0
219,9432.0
220,9411.0
221,9406.0
222,9404.0
223,9402.0
224,9394.0
225,9237.0
226,9096.0
227,8892.0
228,8834.0
229,8706.0
230,8935.0
231,9276.0
232,9535.0
233,9545.0
234,9553.0
235,9582.0
236,9586.0
237,9592.0
238,9606.0
239,9619.0
240,9695.0
241,9729.0
242,9751.0
243,9864.0
244,9886.0
245,9847.0
246,9606.0
247,9579.0
248,9467.0
249,9466.0
250,9283.0
251,9270.0
252,9240.0
253,9191.0
254,9178.0
255,9164.0
256,9151.0
257,8821.0
258,8788.0
259,8732.0
260,8954.0
261,9071.0
262,9140.0
263,9192.0
264,9258.0
265,9383.0
266,9429.0
267,9525.0
268,9544.0
269,9553.0
270,9558.0
271,9681.0
272,9681.0
273,9682.0
274,9683.0
275,9684.0
276,9684.0
277,9685.0
278,9686.0
279,9687.0
280,9688.0
281,9689.0
282,9690.0
283,9691.0
284,9692.0
285,9692.0
286,9693.0
287,9698.0
288,9699.0
289,9708.0
290,9724.0
291,9731.0
292,9734.0
293,9738.0
294,9741.0
295,9743.0
296,9747.0
297,9748.0
298,9758.0
299,9762.0
300,9774.0
301,9777.0
302,9778.0
303,9801.0
304,9804.0
305,9804.0
306,9806.0
307,9818.0
308,9819.0
309,9852.0
310,9878.0
311,9881.0
312,9954.0
313,9958.0
314,9621.0
315,9519.0
316,9440.0
317,9399.0
318,9357.0
319,9254.0
320,9108.0
321,9065.0
322,8489.0
323,8255.0
324,8194.0
325,8217.0
326,8245.0
327,8321.0
328,8499.0
329,9345.0
330,8569.0
331,8712.0
332,9824.0
333,9824.0
334,9823.0
335,9821.0
336,9819.0
337,9817.0
338,9816.0
339,9814.0
340,9812.0
341,9811.0
342,9809.0
343,9807.0
344,9806.0
345,9804.0
346,9802.0
347,9801.0
348,9799.0
349,9797.0
350,9796.0
351,9794.0
352,9792.0
353,9791.0
354,9789.0
355,9787.0
356,9786.0
357,9784.0
358,9782.0
359,9781.0
360,9779.0
361,9777.0
362,9776.0
363,9771.0
364,9751.0
365,9742.0
366,9734.0
367,9724.0
368,9699.0
369,9672.0
370,9656.0
371,9646.0
372,9640.0
373,9634.0
374,9628.0
375,9614.0
376,9606.0
377,9600.0
378,9589.0
379,9698.0
380,9697.0
381,9696.0
382,9695.0
383,9692.0
384,9686.0
385,9670.0
386,9668.0
387,9653.0
388,9647.0
389,9645.0
390,9638.0
391,9636.0
392,9635.0
393,9630.0
394,9626.0
395,9606.0
396,9601.0
397,9600.0
398,9598.0
399,9596.0
400,9595.0
401,9583.0
402,9579.0
403,9765.0
404,9089.0
405,8459.0
406,8509.0
407,8559.0
408,8609.0
409,9895.0
410,9895.0
411,9891.0
412,9891.0
413,9883.0
414,9882.0
415,9882.0
416,9879.0
417,9878.0
418,9878.0
419,9874.0
420,9874.0
421,9873.0
422,9873.0
423,9873.0
424,9871.0
425,9869.0
426,9868.0
427,9863.0
428,9581.0
429,9300.0
430,8771.0
431,8711.0
432,8710.0
433,8709.0
434,8709.0
435,8706.0
436,8704.0
437,8701.0
438,8699.0
439,8698.0
440,8697.0
441,8691.0
442,8685.0
443,8685.0
444,8682.0
445,8648.0
446,8667.0
447,8762.0
448,8857.0
449,8952.0
450,9251.0
451,9560.0
452,8478.0
453,8426.0
454,8274.0
455,9323.0
456,9234.0
457,8752.0
458,8340.0
459,8722.0
460,8811.0
461,9743.0
462,9114.0
463,8368.0
464,8414.0
465,8551.0
466,8562.0
467,8569.0
468,8576.0
469,8618.0
470,8625.0
471,8880.0
472,8899.0
473,9024.0
474,9397.0
475,9331.0
476,8906.0
477,8555.0
478,8204.0
479,9829.0
480,9824.0
481,9822.0
482,9811.0
483,9793.0
484,9767.0
485,9754.0
486,9734.0
487,9730.0
488,9713.0
489,9701.0
490,9677.0
491,9666.0
492,9662.0
493,9646.0
494,9641.0
495,9640.0
496,9637.0
497,9627.0
498,9306.0
499,8449.0
500,8918.0
501,9585.0
502,9748.0
503,9763.0
504,9769.0
505,9771.0
506,9800.0
507,9803.0
508,9806.0
509,9807.0
510,9819.0
511,9843.0
512,9848.0
513,9852.0
514,9849.0
515,9114.0
516,9069.0
517,8652.0
518,8429.0
519,8734.0
520,8561.0
521,8389.0
522,8578.0
523,9180.0
524,8937.0
525,9086.0
526,8299.0
527,8922.0
528,9252.0
529,9583.0
530,8273.0
531,8483.0
532,8914.0
533,9238.0
534,8690.0
535,8542.0
536,8395.0
537,8624.0
538,8914.0
539,9391.0
540,9868.0
541,9870.0
542,9874.0
543,9917.0
544,9922.0
545,9925.0
546,9944.0
547,9952.0
548,9951.0
549,9938.0
550,9829.0
551,9537.0
552,9478.0
553,9437.0
554,9429.0
555,9349.0
556,9325.0
557,9307.0
558,9291.0
559,9252.0
560,9206.0
561,9099.0
562,9235.0
563,8450.0
564,9706.0
565,9701.0
566,9680.0
567,9678.0
568,9656.0
569,9651.0
570,9615.0
571,9576.0
572,9574.0
573,9551.0
574,9539.0
575,9391.0
576,9137.0
577,8506.0
578,8641.0
579,8668.0
580,8676.0
581,8685.0
582,8798.0
583,9248.0
584,8444.0
585,9105.0
586,9766.0
587,9335.0
588,9366.0
589,8678.0
590,8499.0
591,8750.0
592,8694.0
593,8113.0
594,8013.0
595,8022.0
596,9655.0
597,9604.0
598,9553.0
599,9409.0
600,9361.0
601,9262.0
602,9149.0
603,9135.0
604,9120.0
605,8941.0
606,8924.0
607,8832.0
608,8652.0
609,8367.0
610,8227.0
611,8140.0
612,8108.0
613,8185.0
614,8233.0
615,8390.0
616,9100.0
617,8775.0
618,8551.0
619,8796.0
620,8184.0
621,8844.0
622,8794.0
623,8868.0
624,8246.0
625,8667.0
626,8642.0
627,9120.0
628,9534.0
629,9489.0
630,9380.0
631,9379.0
632,9361.0
633,9359.0
634,9347.0
635,9346.0
636,9342.0
637,9341.0
638,9340.0
639,9337.0
640,9333.0
641,9323.0
642,9320.0
643,9317.0
644,9313.0
645,9312.0
646,9310.0
647,9298.0
648,9287.0
649,9273.0
650,9270.0
651,9160.0
652,9197.0
653,9451.0
654,9706.0
655,9706.0
656,9708.0
657,9709.0
658,9711.0
659,9713.0
660,9715.0
661,9717.0
662,9719.0
663,9720.0
664,9722.0
665,9724.0
666,9726.0
667,9728.0
668,9730.0
669,9731.0
670,9733.0
671,9735.0
672,9737.0
673,9739.0
674,9741.0
675,9753.0
676,9772.0
677,9775.0
678,9739.0
679,9691.0
680,9649.0
681,9639.0
682,9559.0
683,9555.0
684,9551.0
685,9547.0
686,9506.0
687,9433.0
688,9404.0
689,9402.0
690,8283.0
691,8792.0
692,9371.0
693,8944.0
694,8903.0
695,9380.0
696,8266.0
697,9240.0
698,9657.0
699,9620.0
700,9600.0
701,9598.0
702,9579.0
703,9551.0
704,9548.0
705,9544.0
706,9499.0
707,9471.0
708,9450.0
709,9448.0
710,9443.0
711,9411.0
712,9495.0
713,9575.0
714,9528.0
715,9372.0
716,8553.0
717,9634.0
718,9612.0
719,9571.0
720,9532.0
721,9463.0
722,9340.0
723,9234.0
724,9107.0
725,8907.0
726,8835.0
727,8722.0
728,8685.0
729,8618.0
730,8581.0
731,8457.0
732,8419.0
733,8278.0
734,8206.0
735,8251.0
736,8273.0
737,8314.0
738,8361.0
739,8368.0
740,8391.0
741,8443.0
742,8528.0
743,8628.0
744,9158.0
745,9243.0
746,9200.0
747,9214.0
748,9229.0
749,9384.0
750,9725.0
751,8675.0
752,9169.0
753,9447.0
754,9522.0
755,9527.0
756,9528.0
757,9530.0
758,9531.0
759,9531.0
760,9536.0
761,9538.0
762,9539.0
763,9545.0
764,9545.0
765,9546.0
766,9547.0
767,9558.0
768,9565.0
769,9569.0
770,9572.0
771,9573.0
772,9574.0
773,9576.0
774,9578.0
775,9579.0
776,9584.0
777,9586.0
778,9589.0
779,9592.0
780,9596.0
781,9596.0
782,9671.0
783,9746.0
784,9821.0
785,9822.0
786,9829.0
787,9830.0
788,9833.0
789,9837.0
790,9844.0
791,9811.0
792,9783.0
793,9774.0
794,9758.0
795,9665.0
796,9648.0
797,9598.0
798,9591.0
799,9532.0
800,9506.0
801,8778.0
802,9282.0
803,8207.0
804,8220.0
805,8342.0
806,8691.0
807,9678.0
808,9677.0
809,9674.0
810,9674.0
811,9673.0
812,9673.0
813,9672.0
814,9671.0
815,9667.0
816,9666.0
817,9665.0
818,9664.0
819,9663.0
820,9662.0
821,9649.0
822,9645.0
823,9628.0
824,9487.0
825,9347.0
826,9206.0
827,9868.0
828,8537.0
829,9129.0
830,9172.0
831,9214.0
832,9256.0
833,9350.0
834,9478.0
835,9481.0
836,9485.0
837,9499.0
838,9500.0
839,9505.0
840,9507.0
841,9513.0
842,9514.0
843,9516.0
844,9519.0
845,9522.0
846,9525.0
847,9529.0
848,9548.0
849,9553.0
850,9555.0
851,9560.0
852,9535.0
853,9523.0
854,9454.0
855,9448.0
856,9378.0
857,9360.0
858,9303.0
859,9270.0
860,8610.0
861,9091.0
862,9572.0
863,9385.0
864,9472.0
865,9206.0
866,8941.0
867,8675.0
868,8418.0
869,9843.0
870,9821.0
871,9759.0
872,9744.0
873,9735.0
874,9707.0
875,9704.0
876,9678.0
877,9668.0
878,9663.0
879,9658.0
880,9634.0
881,9629.0
882,9610.0
883,9600.0
884,9598.0
885,9592.0
886,9578.0
887,9127.0
888,8639.0
889,8200.0
890,8202.0
891,8232.0
892,8261.0
893,8596.0
894,8481.0
895,8941.0
896,9840.0
897,9831.0
898,9812.0
899,9797.0
900,9794.0
901,9791.0
902,9787.0
903,9785.0
904,9780.0
905,9777.0
906,9776.0
907,9746.0
908,9745.0
909,9739.0
910,9734.0
911,9730.0
912,9727.0
913,9707.0
914,9639.0
915,9605.0
916,9526.0
917,9418.0
918,8984.0
919,8691.0
920,9101.0
921,9407.0
922,9499.0
923,9591.0
924,9684.0
925,9776.0
926,9868.0
927,9869.0
928,9474.0
929,9369.0
930,9226.0
931,8940.0
932,8920.0
933,8851.0
934,8830.0
935,8497.0
936,8347.0
937,8350.0
938,8352.0
939,8372.0
940,8378.0
941,8401.0
942,9080.0
943,9147.0
944,9920.0
945,9920.0
946,9922.0
947,9923.0
948,9925.0
949,9927.0
950,9928.0
951,9930.0
952,9932.0
953,9933.0
954,9935.0
955,9936.0
956,9938.0
957,9940.0
958,9941.0
959,9943.0
960,9945.0
961,9946.0
962,9948.0
963,9949.0
964,9951.0
965,9949.0
966,9925.0
967,9902.0
968,9878.0
969,9649.0
970,9625.0
971,9574.0
972,9530.0
973,9435.0
974,9125.0
975,8982.0
976,8794.0
977,8797.0
978,8799.0
979,8806.0
980,8812.0
981,8813.0
982,8814.0
983,8815.0
984,8829.0
985,8832.0
986,8833.0
987,8838.0
988,8838.0
989,8839.0
990,9280.0
991,9268.0
992,8895.0
993,8135.0
994,8377.0
995,9460.0
996,9692.0
997,9185.0
998,9515.0
999,9271.0
1000,8991.0
1001,8650.0
1002,8514.0
1003,9279.0
1004,9095.0
1005,8610.0
1006,9872.0
1007,9871.0
