,run,name,time,value
1,0,tDistribution,"[ 10000.0370826   10000.2125128   10001.20039068 ... 249995.22632898
 249996.22326696 249997.14004593]",[0.1754302  0.98787789 2.6752597  ... 0.99693798 0.91677897 6.27666824]
2,0,tDistribution,"[ 10000.04538444  10000.11373485  10000.59842344 ... 249998.44285738
 249998.92937671 249999.98347292]",[0.06835041 0.48468859 1.665573   ... 0.48651933 1.05409621 0.2769448 ]
3,0,tDistribution,"[ 10000.04672183  10000.46753811  10000.98970909 ... 249999.07707694
 249999.42279193 249999.57881505]",[0.42081627 0.52217098 3.50924323 ... 0.34571499 0.15602311 0.83257891]
4,0,tDistribution,"[ 10000.0649865   10000.63132107  10000.77034981 ... 249997.69272126
 249997.9303688  249998.90891707]",[0.56633456 0.13902874 1.22871949 ... 0.23764754 0.97854827 2.88650667]
5,0,tDistribution,"[ 10000.07246022  10001.09202933  10001.22121371 ... 249998.75542708
 249999.39258371 249999.47108232]",[1.01956911 0.12918438 2.94854761 ... 0.63715663 0.07849861 1.34960457]
6,0,tDistribution,"[ 10000.0826123   10002.52186882  10004.21618367 ... 249998.81933403
 249999.78863522 249999.88810225]",[2.43925653 1.69431485 0.07702771 ... 0.96930119 0.09946703 2.73306142]
7,0,tDistribution,"[ 10000.09066709  10001.0335136   10003.60554383 ... 249997.69505431
 249998.51941321 249998.6086362 ]",[0.94284652 2.57203023 0.9377516  ... 0.8243589  0.08922299 1.9286124 ]
8,0,tDistribution,"[ 10000.09406812  10002.72279552  10005.61914416 ... 249997.13076558
 249997.4827462  249999.77706532]",[2.62872739 2.89634864 0.74439783 ... 0.35198062 2.29431912 1.57844989]
9,0,tDistribution,"[ 10000.09433747  10000.1153441   10001.89049166 ... 249996.8014387
 249998.35955211 249998.76259281]",[0.02100664 1.77514756 0.36427892 ... 1.5581134  0.4030407  1.86587748]
10,0,tDistribution,"[ 10000.13827905  10000.75682288  10002.53365046 ... 249995.8007677
 249997.12946626 249999.88665971]",[0.61854383 1.77682757 1.96942176 ... 1.32869855 2.75719345 2.22184063]
11,0,tDistribution,"[ 10000.14064216  10000.15871542  10001.17691048 ... 249996.13356861
 249997.83259126 249999.7938375 ]",[0.01807327 1.01819505 1.65151991 ... 1.69902265 1.96124624 0.6151536 ]
12,0,tDistribution,"[ 10000.14508534  10000.9360598   10001.13302768 ... 249999.34619779
 249999.38896459 249999.81894167]",[0.79097446 0.19696788 0.40696752 ... 0.0427668  0.42997708 0.7576434 ]
13,0,tDistribution,"[ 10000.170142    10000.75942451  10002.08221081 ... 249998.91172924
 249999.45835308 249999.9595299 ]",[0.58928251 1.3227863  0.23133442 ... 0.54662384 0.50117682 2.1885045 ]
14,0,tDistribution,"[ 10000.17175397  10000.48876696  10000.91990962 ... 249996.28040806
 249996.40673481 249996.77017394]",[0.31701299 0.43114265 2.38281449 ... 0.12632675 0.36343913 3.61004653]
15,0,tDistribution,"[ 10000.191561    10000.21671391  10000.42540901 ... 249995.54759125
 249999.64735742 249999.78922124]",[0.02515292 0.20869509 3.51438739 ... 4.09976618 0.14186381 1.30897439]
16,0,tDistribution,"[ 10000.19621919  10001.14601083  10001.20707716 ... 249997.3602963
 249997.7399769  249997.91911056]",[0.94979164 0.06106633 1.56163085 ... 0.3796806  0.17913365 2.92405944]
17,0,tDistribution,"[ 10000.19984929  10002.05075456  10002.63337115 ... 249997.93245977
 249998.24765311 249999.57626818]",[1.85090527 0.5826166  0.72247801 ... 0.31519334 1.32861507 0.50024414]
18,0,tDistribution,"[ 10000.20405036  10001.34942396  10004.53218094 ... 249998.79098699
 249999.28971069 249999.60005725]",[1.1453736  3.18275699 0.72232031 ... 0.4987237  0.31034656 1.08517787]
23,0,tDistribution,"[ 10000.26625797  10000.93754579  10002.91981353 ... 249992.03342238
 249993.82535426 249999.37882242]",[0.67128782 1.98226775 0.15387221 ... 1.79193188 5.55346815 0.89237168]
24,0,tDistribution,"[ 10000.28417271  10000.33194955  10000.39125948 ... 249998.73812616
 249999.18436917 249999.71261982]",[0.04777684 0.05930993 0.46623678 ... 0.44624301 0.52825065 5.1288551 ]
25,0,tDistribution,"[ 10000.33103057  10001.76301668  10002.64412205 ... 249995.31005147
 249996.3083957  249996.31151105]","[1.43198610e+00 8.81105373e-01 4.34376480e+00 ... 9.98344226e-01
 3.11535028e-03 4.08214498e+00]"
26,0,tDistribution,"[ 10000.34115055  10000.74175942  10003.59039425 ... 249998.36107651
 249999.35690245 249999.95124857]",[0.40060887 2.84863483 0.91741232 ... 0.99582594 0.59434612 0.39045151]
27,0,tDistribution,"[ 10000.36772035  10003.18763318  10004.41029338 ... 249994.84500721
 249997.95219048 249998.18069189]",[2.81991283 1.2226602  1.80381587 ... 3.10718327 0.22850141 2.49144896]
32,0,tDistribution,"[ 10000.38293886  10002.00652514  10004.23035269 ... 249999.10036393
 249999.18724129 249999.51718549]",[1.62358629 2.22382754 1.5223357  ... 0.08687736 0.3299442  1.62586889]
33,0,tDistribution,"[ 10000.38760565  10000.51427148  10000.76978067 ... 249994.74843698
 249996.18442898 249997.81592708]",[0.12666583 0.25550918 1.33956988 ... 1.435992   1.6314981  3.49009148]
34,0,tDistribution,"[ 10000.38881291  10001.61881686  10003.61896853 ... 249996.15553938
 249996.44932598 249999.03823717]",[1.23000395 2.00015167 1.77692051 ... 0.2937866  2.58891119 1.31111292]
35,0,tDistribution,"[ 10000.41606946  10001.15914209  10001.62684271 ... 249995.72872201
 249997.09211257 249998.29227267]",[0.74307263 0.46770062 1.86249555 ... 1.36339056 1.2001601  1.9322788 ]
36,0,tDistribution,"[ 10000.42415235  10000.93082992  10002.29559597 ... 249997.49126054
 249998.12299137 249999.61006323]",[0.50667757 1.36476605 0.85366272 ... 0.63173083 1.48707186 2.16009648]
37,0,tDistribution,"[ 10000.42856821  10001.27641419  10001.84371038 ... 249996.25944642
 249996.87145189 249999.35074897]",[0.84784598 0.56729619 2.69157546 ... 0.61200547 2.47929708 1.20670689]
38,0,tDistribution,"[ 10000.43887079  10000.97032293  10005.69035028 ... 249995.3449195
 249995.54814065 249997.61967819]",[0.53145213 4.72002735 0.90823087 ... 0.20322115 2.07153755 3.03863873]
39,0,tDistribution,"[ 10000.43921265  10000.44641993  10000.48960904 ... 249997.10549894
 249998.59239309 249998.73839121]",[0.00720728 0.04318911 2.33962763 ... 1.48689414 0.14599812 2.45645951]
40,0,tDistribution,"[ 10000.48621316  10000.53515938  10001.28984326 ... 249997.51385145
 249997.70342911 249999.31425165]",[0.04894622 0.75468388 3.84760474 ... 0.18957767 1.61082253 1.86825706]
41,0,tDistribution,"[ 10000.49149089  10001.58954136  10003.69873212 ... 249999.48973843
 249999.49003596 249999.59473035]","[1.09805047e+00 2.10919076e+00 6.52444228e-01 ... 2.97523354e-04
 1.04694396e-01 1.64105240e+00]"
42,0,tDistribution,"[ 10000.4924758   10000.61736018  10001.05108824 ... 249998.97033964
 249999.69840128 249999.88198927]",[0.12488438 0.43372806 0.62007306 ... 0.72806164 0.18358799 3.59727402]
43,0,tDistribution,"[ 10000.5148723   10001.96752915  10002.59415304 ... 249995.86488432
 249996.24730811 249996.87705747]",[1.45265685 0.62662389 0.32514436 ... 0.38242379 0.62974936 6.28246922]
44,0,tDistribution,"[ 10000.51847296  10001.63157622  10003.14356241 ... 249997.68355755
 249998.98495121 249999.46152677]",[1.11310326 1.51198619 1.36582442 ... 1.30139366 0.47657555 2.19973386]
45,0,tDistribution,"[ 10000.54145158  10000.87680244  10001.70527144 ... 249996.0804777
 249998.37190362 249999.02010194]",[0.33535086 0.828469   0.42446656 ... 2.29142592 0.64819832 1.08875759]
46,0,tDistribution,"[ 10000.54184921  10001.25130537  10001.29835881 ... 249994.8844962
 249997.53580748 249997.69448434]",[0.70945616 0.04705345 2.1154758  ... 2.65131128 0.15867685 3.02808618]
47,0,tDistribution,"[ 10000.57894975  10000.99545889  10005.60335946 ... 249996.3881593
 249997.95734256 249999.33582424]",[0.41650914 4.60790057 0.35323773 ... 1.56918326 1.37848168 1.68251632]
48,0,tDistribution,"[ 10000.58903344  10001.05052893  10001.13794498 ... 249997.60061388
 249997.69255411 249998.51704856]",[0.46149549 0.08741605 0.43471865 ... 0.09194023 0.82449445 1.88305254]
49,0,tDistribution,"[ 10000.59543327  10000.84731962  10001.5430672  ... 249996.37304796
 249997.21711525 249999.55698182]",[0.25188635 0.69574758 0.14060186 ... 0.84406729 2.33986656 0.5474242 ]
54,0,tDistribution,"[ 10000.60250368  10001.54294621  10001.63152678 ... 249993.55595026
 249996.77373805 249997.72125349]",[0.94044253 0.08858057 0.40357574 ... 3.21778779 0.94751544 3.01245568]
55,0,tDistribution,"[ 10000.61990376  10001.99257808  10002.56777839 ... 249997.47459651
 249998.07573363 249999.25505617]",[1.37267432 0.57520031 0.19588601 ... 0.60113712 1.17932255 6.3209804 ]
56,0,tDistribution,"[ 10000.63492623  10000.8778488   10001.1680041  ... 249998.50632579
 249998.83545114 249999.94424834]",[0.24292257 0.2901553  0.96170834 ... 0.32912535 1.10879719 0.69386354]
57,0,tDistribution,"[ 10000.65788658  10000.89392021  10001.91557034 ... 249997.97654861
 249999.78078436 249999.97656566]",[0.23603364 1.02165013 0.51151207 ... 1.80423575 0.1957813  2.08605584]
58,0,tDistribution,"[ 10000.68575284  10002.25705948  10003.09506515 ... 249999.20968993
 249999.25434092 249999.53306848]",[1.57130664 0.83800566 0.40160139 ... 0.044651   0.27872756 0.86626746]
59,0,tDistribution,"[ 10000.68881977  10001.49082598  10002.22968943 ... 249998.30420985
 249998.78187499 249999.88559492]",[0.80200621 0.73886345 0.11590537 ... 0.47766513 1.10371993 2.13329722]
64,0,tDistribution,"[ 10000.76862064  10001.28162334  10003.85568842 ... 249997.47910594
 249998.6918929  249999.9552167 ]",[0.5130027  2.57406507 0.05439714 ... 1.21278696 1.2633238  1.24257986]
65,0,tDistribution,"[ 10000.77347356  10001.63051009  10001.86169174 ... 249996.25844381
 249996.90265133 249999.84244957]",[0.85703653 0.23118164 1.83414792 ... 0.64420752 2.93979824 1.15981665]
66,0,tDistribution,"[ 10000.78330563  10004.18064786  10005.24680436 ... 249996.0463269
 249998.68335364 249999.54969345]",[3.39734223 1.0661565  0.87713007 ... 2.63702674 0.86633981 0.67232274]
67,0,tDistribution,"[ 10000.7888279   10001.37824336  10003.19855305 ... 249997.7748992
 249997.84589879 249998.55143155]",[0.58941546 1.82030969 3.52916044 ... 0.07099959 0.70553276 2.44351296]
68,0,tDistribution,"[ 10000.81621501  10001.01193602  10001.30096277 ... 249997.86611677
 249997.87035402 249998.6786846 ]",[0.19572101 0.28902675 0.63186065 ... 0.00423725 0.80833058 3.82108076]
69,0,tDistribution,"[ 10000.83132709  10001.45221718  10002.33513102 ... 249998.3432763
 249998.46529085 249998.66808007]",[0.62089008 0.88291384 1.86622143 ... 0.12201455 0.20278922 2.65138572]
70,0,tDistribution,"[ 10000.85466879  10002.67166498  10004.58494895 ... 249998.05884265
 249999.09226226 249999.96503586]",[1.81699619 1.91328397 0.18534717 ... 1.03341962 0.8727736  2.51031462]
