,run,name,time,value
127,0,tDistribution,"[ 10003.10837378  10004.60409058  10005.35599147 ... 249998.72189387
 249999.30225835 249999.85924403]",[1.4957168  0.75190089 0.30227609 ... 0.58036448 0.55698568 1.26976743]
128,0,tDistribution,"[ 10003.20492872  10004.72772956  10004.77721004 ... 249998.76934732
 249999.03351041 249999.53375883]",[1.52280084 0.04948048 2.11283618 ... 0.26416309 0.50024843 1.79207615]
133,0,tDistribution,"[ 10003.70710109  10004.24036895  10004.57013431 ... 249997.61661465
 249998.20201758 249999.75438482]",[0.53326786 0.32976535 1.8390335  ... 0.58540293 1.55236724 1.29624572]
134,0,tDistribution,"[ 10003.73297713  10005.54575673  10008.34057229 ... 249996.63903928
 249997.73053917 249998.79272625]",[1.8127796  2.79481556 1.3776807  ... 1.0914999  1.06218708 2.1626422 ]
139,0,tDistribution,"[ 10005.8824138   10006.91637517  10010.63455647 ... 249994.99893489
 249997.75513185 249998.0508247 ]",[1.03396137 3.7181813  0.80500562 ... 2.75619696 0.29569285 2.88328821]
20,0,waitingTime,"[ 10000.24247698  10001.49679036  10001.50456813 ... 249996.67203992
 249998.26747703 249998.74174299]","[ 0.00000000e+00  0.00000000e+00  5.92634841e-03 ... -4.00000000e-12
 -3.00000000e-12  8.00000000e-12]"
29,0,waitingTime,"[ 10000.37990976  10000.66194043  10002.66301236 ... 249995.05758085
 249995.55659796 249999.95512972]",[0.0e+00 0.0e+00 1.0e-12 ... 1.2e-11 3.0e-12 1.0e-11]
51,0,waitingTime,"[ 10000.59836841  10001.36958397  10002.96218249 ... 249996.6380354
 249998.84889395 249999.711477  ]",[ 0.0e+00  0.0e+00  1.0e-12 ...  4.0e-12 -1.5e-11 -1.1e-11]
61,0,waitingTime,"[ 10000.71776798  10002.42607493  10002.46537158 ... 249998.53947434
 249999.47814762 249999.54385737]",[ 1.0e-12 -1.0e-12  0.0e+00 ... -4.0e-12  1.4e-11  2.0e-11]
79,0,waitingTime,"[ 10001.00772808  10001.05092895  10001.55842214 ... 249996.74518771
 249997.21108226 249999.56556116]",[ 1.0e-12  3.0e-12  0.0e+00 ...  2.0e-12  2.8e-11 -1.0e-11]
85,0,waitingTime,"[ 10001.17768738  10002.79656156  10002.90532274 ... 249996.53369327
 249998.03078422 249999.74687498]",[ 2.0e-12  0.0e+00  0.0e+00 ...  2.2e-11 -8.0e-12  5.0e-12]
103,0,waitingTime,"[ 10001.66910782  10002.20282807  10003.86194792 ... 249998.11985282
 249998.34443629 249998.89345422]",[ 0.0e+00  1.0e-12 -1.0e-12 ... -9.0e-12  1.6e-11 -2.0e-12]
108,0,waitingTime,"[ 10001.74206485  10004.58699527  10006.75976739 ... 249995.71942781
 249996.87862992 249998.08263033]",[ 1.0e-12  1.0e-12  0.0e+00 ...  1.0e-11  3.4e-11 -5.0e-12]
130,0,waitingTime,"[ 10003.43737759  10004.36005803  10005.51387957 ... 249994.82687911
 249996.23937047 249997.94318386]",[-1.0e-12  0.0e+00 -1.0e-12 ...  1.3e-11 -1.1e-11  1.0e-11]
136,0,waitingTime,"[ 10003.80847252  10004.17426623  10004.86010971 ... 249995.19938471
 249995.29012672 249997.839417  ]",[ 0.0e+00  0.0e+00  0.0e+00 ...  1.1e-11 -8.0e-12 -9.0e-12]
149,1,arrivalTime,"[ 10000.16145919  10000.90520142  10003.06184612 ... 249998.82034907
 249998.87015041 249999.26417834]",[0.74374223 2.1566447  0.20632235 ... 0.04980135 0.39402792 1.4015547 ]
158,1,arrivalTime,"[ 10000.23288976  10001.15267837  10001.61890182 ... 249997.96432863
 249998.12138592 249998.6558845 ]",[0.91978861 0.46622345 0.10036883 ... 0.1570573  0.53449857 2.55002261]
185,1,arrivalTime,"[ 10000.45705406  10001.15903959  10001.78344977 ... 249997.10751608
 249997.46733061 249998.07176408]",[0.70198553 0.62441018 1.50664777 ... 0.35981454 0.60443346 2.04836062]
191,1,arrivalTime,"[ 10000.50809793  10000.87314085  10000.99339049 ... 249998.30666218
 249999.92415411 249999.95662597]",[0.36504292 0.12024964 0.81716542 ... 1.61749192 0.03247187 0.57318017]
201,1,arrivalTime,"[ 10000.59740037  10002.29078125  10004.24629521 ... 249998.86688209
 249999.27865852 249999.68445751]",[1.69338088 1.95551396 0.58061729 ... 0.41177643 0.40579899 2.84241776]
224,1,arrivalTime,"[ 10001.11737244  10001.46134083  10001.76237695 ... 249999.31291142
 249999.36224508 249999.52058586]",[0.34396839 0.30103612 1.96711886 ... 0.04933366 0.15834079 0.98781962]
237,1,arrivalTime,"[ 10001.34501761  10004.13475674  10005.90288643 ... 249996.94732468
 249997.14329927 249999.30818113]",[2.78973913 1.7681297  1.17255066 ... 0.19597459 2.16488186 1.42935079]
251,1,arrivalTime,"[ 10001.80924205  10002.33761702  10002.52509261 ... 249992.69114349
 249994.46191515 249994.83635098]",[0.52837497 0.18747558 2.40164439 ... 1.77077166 0.37443583 8.20615397]
264,1,arrivalTime,"[ 10002.45071194  10002.56087909  10002.69921694 ... 249994.49573371
 249998.90122653 249999.617438  ]",[0.11016715 0.13833785 0.87239022 ... 4.40549281 0.71621147 1.61663815]
269,1,arrivalTime,"[ 10002.89812471  10004.56572009  10004.70333881 ... 249992.4263459
 249995.17668335 249998.41251553]",[1.66759538 0.13761872 0.83893296 ... 2.75033745 3.23583218 1.93600449]
152,1,responseTime,"[ 10000.16145919  10000.90520142  10003.06184612 ... 249998.82034907
 249998.87015041 249999.26417834]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
161,1,responseTime,"[ 10000.23288976  10001.15267837  10001.61890182 ... 249997.96432863
 249998.12138592 249998.6558845 ]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
188,1,responseTime,"[ 10000.45705406  10001.15903959  10001.78344977 ... 249997.10751608
 249997.46733061 249998.07176408]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
194,1,responseTime,"[ 10000.50809793  10000.87314085  10000.99339049 ... 249998.30666218
 249999.92415411 249999.95662597]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
204,1,responseTime,"[ 10000.59740037  10002.29078125  10004.24629521 ... 249998.86688209
 249999.27865852 249999.68445751]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
227,1,responseTime,"[ 10001.11737244  10001.46134083  10001.76237695 ... 249999.31291142
 249999.36224508 249999.52058586]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
240,1,responseTime,"[ 10001.34501761  10004.13475674  10005.90288643 ... 249996.94732468
 249997.14329927 249999.30818113]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
254,1,responseTime,"[ 10001.80924205  10002.33761702  10002.52509261 ... 249992.69114349
 249994.46191515 249994.83635098]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
267,1,responseTime,"[ 10002.45071194  10002.56087909  10002.69921694 ... 249994.49573371
 249998.90122653 249999.617438  ]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
272,1,responseTime,"[ 10002.89812471  10004.56572009  10004.70333881 ... 249992.4263459
 249995.17668335 249998.41251553]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
151,1,serviceTime,"[ 10000.16145919  10000.90520142  10003.06184612 ... 249998.82034907
 249998.87015041 249999.26417834]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
160,1,serviceTime,"[ 10000.23288976  10001.15267837  10001.61890182 ... 249997.96432863
 249998.12138592 249998.6558845 ]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
187,1,serviceTime,"[ 10000.45705406  10001.15903959  10001.78344977 ... 249997.10751608
 249997.46733061 249998.07176408]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
193,1,serviceTime,"[ 10000.50809793  10000.87314085  10000.99339049 ... 249998.30666218
 249999.92415411 249999.95662597]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
203,1,serviceTime,"[ 10000.59740037  10002.29078125  10004.24629521 ... 249998.86688209
 249999.27865852 249999.68445751]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
226,1,serviceTime,"[ 10001.11737244  10001.46134083  10001.76237695 ... 249999.31291142
 249999.36224508 249999.52058586]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
239,1,serviceTime,"[ 10001.34501761  10004.13475674  10005.90288643 ... 249996.94732468
 249997.14329927 249999.30818113]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
253,1,serviceTime,"[ 10001.80924205  10002.33761702  10002.52509261 ... 249992.69114349
 249994.46191515 249994.83635098]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
266,1,serviceTime,"[ 10002.45071194  10002.56087909  10002.69921694 ... 249994.49573371
 249998.90122653 249999.617438  ]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
271,1,serviceTime,"[ 10002.89812471  10004.56572009  10004.70333881 ... 249992.4263459
 249995.17668335 249998.41251553]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
140,1,tDistribution,"[ 10000.00674552  10000.59187854  10001.86566254 ... 249997.00591499
 249998.08474035 249999.32182726]",[0.58513302 1.27378401 0.89923808 ... 1.07882537 1.2370869  2.41170973]
141,1,tDistribution,"[ 10000.01731907  10000.53139332  10000.65949574 ... 249993.17915916
 249999.35854736 249999.56385337]",[0.51407425 0.12810242 2.20895699 ... 6.1793882  0.20530601 0.48643784]
142,1,tDistribution,"[ 10000.04433192  10000.27448854  10005.60532533 ... 249996.30243952
 249997.832147   249998.42998046]",[0.23015663 5.33083679 1.05549927 ... 1.52970748 0.59783346 1.80597565]
143,1,tDistribution,"[ 10000.05134497  10000.09307899  10001.35801034 ... 249992.69102805
 249993.10908568 249993.13477711]",[0.04173402 1.26493135 0.06028817 ... 0.41805763 0.02569143 7.74869391]
144,1,tDistribution,"[ 10000.06630232  10000.10370903  10000.67580404 ... 249995.04055345
 249996.06351694 249998.69280877]",[0.03740671 0.572095   0.35506377 ... 1.02296349 2.62929183 2.73590902]
145,1,tDistribution,"[ 10000.07469107  10000.94916009  10001.35732761 ... 249997.43499344
 249998.09110663 249998.67045721]",[0.87446903 0.40816752 0.15564405 ... 0.65611319 0.57935058 4.1666391 ]
146,1,tDistribution,"[ 10000.07598849  10000.96034415  10001.18565508 ... 249996.97758725
 249997.74996588 249999.27216349]",[0.88435566 0.22531092 1.00854273 ... 0.77237863 1.52219761 1.9892902 ]
147,1,tDistribution,"[ 10000.12112356  10001.09558859  10002.54683286 ... 249999.23012377
 249999.42403732 249999.99426939]",[0.97446503 1.45124427 0.05546031 ... 0.19391354 0.57023207 1.23094379]
148,1,tDistribution,"[ 10000.13457701  10000.85456732  10001.27031063 ... 249999.16413672
 249999.29328528 249999.62784601]",[0.71999031 0.41574331 1.71267813 ... 0.12914856 0.33456073 1.38748044]
153,1,tDistribution,"[ 10000.17880644  10000.88815959  10002.62352512 ... 249995.38083622
 249996.17103257 249999.59883478]",[0.70935316 1.73536553 1.51610368 ... 0.79019634 3.42780222 1.45335641]
154,1,tDistribution,"[ 10000.18427085  10000.60205254  10000.99306591 ... 249998.85214468
 249999.11171538 249999.86360443]",[0.41778169 0.39101336 0.59759636 ... 0.2595707  0.75188905 0.50482232]
155,1,tDistribution,"[ 10000.19013419  10001.009948    10001.51697222 ... 249996.3567713
 249996.3858385  249999.66483776]",[0.8198138  0.50702422 2.21611653 ... 0.0290672  3.27899927 0.43629419]
156,1,tDistribution,"[ 10000.19515645  10001.53874518  10001.62389248 ... 249996.72105576
 249998.00232746 249999.56672029]",[1.34358873 0.0851473  0.37108748 ... 1.2812717  1.56439283 0.54441415]
157,1,tDistribution,"[ 10000.20988832  10000.72928985  10000.93230224 ... 249997.80734693
 249998.49871212 249998.5380711 ]",[0.51940153 0.2030124  0.15028286 ... 0.69136519 0.03935897 2.36571906]
162,1,tDistribution,"[ 10000.24438004  10000.41121134  10002.72027928 ... 249997.89363222
 249998.63014992 249999.54449001]",[0.16683129 2.30906795 1.1588234  ... 0.73651769 0.91434009 1.07366461]
163,1,tDistribution,"[ 10000.26411324  10001.03844001  10001.06099878 ... 249997.04237448
 249997.62151916 249997.89892884]",[0.77432677 0.02255877 1.04881035 ... 0.57914468 0.27740968 3.34865812]
164,1,tDistribution,"[ 10000.28114149  10001.47253668  10001.89800251 ... 249995.97617406
 249997.31087486 249999.37664368]",[1.19139518 0.42546583 1.90011645 ... 1.33470079 2.06576882 1.87321516]
165,1,tDistribution,"[ 10000.28716227  10002.24986339  10006.74571691 ... 249995.3188879
 249998.75435628 249999.01716839]",[1.96270113 4.49585351 0.16957184 ... 3.43546838 0.26281211 2.08364955]
166,1,tDistribution,"[ 10000.28972306  10001.01222473  10001.0331034  ... 249998.4184822
 249998.46170667 249998.82445643]",[0.72250167 0.02087866 0.24244274 ... 0.04322447 0.36274976 2.37270979]
167,1,tDistribution,"[ 10000.29746405  10000.51864384  10000.9131576  ... 249995.83807472
 249996.53885442 249996.65142128]",[0.22117979 0.39451376 0.12777571 ... 0.7007797  0.11256686 4.82699775]
168,1,tDistribution,"[ 10000.29855585  10000.85407342  10000.93552388 ... 249997.28964244
 249998.83764293 249999.25069082]",[0.55551758 0.08145046 1.73674692 ... 1.54800049 0.41304789 1.13999464]
169,1,tDistribution,"[ 10000.30245758  10000.79387974  10002.08961088 ... 249998.65768886
 249999.45288649 249999.68617156]",[0.49142216 1.29573114 0.23621367 ... 0.79519763 0.23328507 0.4188282 ]
170,1,tDistribution,"[ 10000.30798038  10000.50977813  10000.81132284 ... 249997.9551953
 249998.37280027 249999.69887437]",[0.20179775 0.30154471 0.08389315 ... 0.41760497 1.32607409 1.09570631]
171,1,tDistribution,"[ 10000.32140472  10000.37265449  10001.33106538 ... 249997.9178713
 249998.45719961 249998.51617246]",[0.05124976 0.95841089 1.25532256 ... 0.5393283  0.05897285 1.7791175 ]
172,1,tDistribution,"[ 10000.32991329  10000.94945305  10001.49522267 ... 249997.79596888
 249999.46940128 249999.64128849]",[0.61953976 0.54576962 1.32572007 ... 1.6734324  0.17188721 3.21380188]
173,1,tDistribution,"[ 10000.3594101   10000.41173782  10001.99169295 ... 249998.26657071
 249998.61815854 249999.35216593]",[0.05232772 1.57995513 1.88568119 ... 0.35158783 0.73400738 1.8973045 ]
174,1,tDistribution,"[ 10000.36202459  10001.90469008  10001.91378284 ... 249997.51965472
 249998.50089238 249998.63175084]",[1.54266549 0.00909276 0.75639516 ... 0.98123766 0.13085845 1.93762527]
175,1,tDistribution,"[ 10000.36623549  10003.18134917  10003.46110043 ... 249997.49015463
 249999.32949609 249999.74636526]",[2.81511368 0.27975127 1.18767568 ... 1.83934147 0.41686917 0.49099795]
176,1,tDistribution,"[ 10000.36669916  10000.69614183  10000.99462968 ... 249995.57494219
 249995.58658055 249998.85448314]",[0.32944267 0.29848786 0.23211453 ... 0.01163836 3.26790259 1.4760766 ]
177,1,tDistribution,"[ 10000.36824672  10002.20082925  10002.515634   ... 249997.31952986
 249998.03454232 249999.28629553]",[1.83258253 0.31480476 0.9136108  ... 0.71501246 1.2517532  1.46131819]
178,1,tDistribution,"[ 10000.37733297  10000.86626404  10001.2660284  ... 249995.4275382
 249995.72328591 249999.60746561]",[0.48893107 0.39976436 1.21009042 ... 0.29574771 3.88417969 1.98907175]
179,1,tDistribution,"[ 10000.38223122  10001.91916042  10002.19795619 ... 249993.69616763
 249993.80416236 249995.81845674]",[1.5369292  0.27879576 0.26028223 ... 0.10799473 2.01429437 4.38475412]
180,1,tDistribution,"[ 10000.40135629  10001.61599802  10005.68475072 ... 249998.02120857
 249998.8620632  249999.02807586]",[1.21464173 4.0687527  0.14392417 ... 0.84085464 0.16601266 0.99951102]
181,1,tDistribution,"[ 10000.41556632  10001.45148187  10001.69160706 ... 249998.04544394
 249998.16751945 249998.70128208]",[1.03591555 0.24012519 1.16487328 ... 0.12207551 0.53376262 2.73748825]
182,1,tDistribution,"[ 10000.41564817  10001.35722488  10001.93260537 ... 249998.83293951
 249999.01440981 249999.26448154]",[0.94157671 0.57538049 0.77786123 ... 0.1814703  0.25007173 0.94040103]
183,1,tDistribution,"[ 10000.4331558   10000.9688036   10002.18623578 ... 249997.40487405
 249998.01486939 249999.25219948]",[0.5356478  1.21743218 0.29797222 ... 0.60999535 1.23733009 1.39808778]
184,1,tDistribution,"[ 10000.44934379  10002.02108366  10003.55098279 ... 249999.17249433
 249999.47523561 249999.4993784 ]",[1.57173987 1.52989913 1.42676928 ... 0.30274128 0.0241428  0.71695711]
189,1,tDistribution,"[ 10000.47179988  10000.65706946  10000.78218086 ... 249998.26835786
 249998.99793583 249999.32741281]",[0.18526958 0.1251114  0.11585926 ... 0.72957797 0.32947698 1.49113345]
190,1,tDistribution,"[ 10000.49736327  10001.21242517  10001.27118641 ... 249996.36212782
 249997.31061406 249999.38767224]",[0.7150619  0.05876124 0.07233627 ... 0.94848624 2.07705818 1.50084452]
195,1,tDistribution,"[ 10000.52410326  10000.70333525  10002.15431629 ... 249997.30382261
 249997.47468157 249998.54137704]",[0.17923199 1.45098104 0.05130278 ... 0.17085896 1.06669547 2.04908842]
196,1,tDistribution,"[ 10000.531026    10002.17131929  10003.01788836 ... 249997.05044633
 249998.22966492 249999.85103909]",[1.64029329 0.84656907 0.03205525 ... 1.17921859 1.62137417 0.47182223]
197,1,tDistribution,"[ 10000.53912106  10001.33170343  10002.23657853 ... 249994.64635274
 249996.17812121 249998.09144292]",[0.79258237 0.9048751  0.22354047 ... 1.53176847 1.91332171 2.07334282]
198,1,tDistribution,"[ 10000.55040928  10000.96254244  10001.36293101 ... 249997.48307821
 249997.79544073 249999.66154101]",[0.41213316 0.40038857 0.25217415 ... 0.31236252 1.86610028 1.01145681]
199,1,tDistribution,"[ 10000.55070575  10001.11410922  10001.74556056 ... 249997.75139718
 249998.06804285 249999.31471236]",[0.56340347 0.63145134 0.38683261 ... 0.31664567 1.24666951 0.79647838]
200,1,tDistribution,"[ 10000.57137541  10001.98675591  10002.75032557 ... 249996.82716958
 249996.86667761 249999.32628547]",[1.41538051 0.76356965 2.8127372  ... 0.03950803 2.45960786 0.70520581]
205,1,tDistribution,"[ 10000.6230171   10001.98606345  10002.36537379 ... 249994.10664035
 249995.68437182 249997.01239173]",[1.36304635 0.37931034 1.31457834 ... 1.57773147 1.32801991 4.93652767]
206,1,tDistribution,"[ 10000.63047308  10002.43815499  10002.6333789  ... 249997.31189681
 249999.17761224 249999.90659446]",[1.80768191 0.19522391 0.27857414 ... 1.86571542 0.72898222 0.62662099]
207,1,tDistribution,"[ 10000.63517284  10001.99383661  10002.22726883 ... 249995.85480399
 249997.29442163 249998.048084  ]",[1.35866377 0.23343222 0.35680925 ... 1.43961764 0.75366236 5.51872722]
208,1,tDistribution,"[ 10000.65535986  10000.71324378  10002.45436264 ... 249996.50401605
 249997.21022215 249998.27764272]",[0.05788393 1.74111886 2.41782235 ... 0.70620609 1.06742057 1.90310463]
209,1,tDistribution,"[ 10000.65871582  10001.42361505  10001.53792884 ... 249999.51387271
 249999.76008893 249999.81879431]",[0.76489923 0.11431379 2.09625326 ... 0.24621622 0.05870538 8.49569181]
210,1,tDistribution,"[ 10000.66444209  10001.82086459  10001.82840326 ... 249996.43430359
 249997.06290683 249999.5845    ]",[1.1564225  0.00753867 0.8151882  ... 0.62860325 2.52159316 0.62601808]
211,1,tDistribution,"[ 10000.69530414  10000.88676718  10003.42006362 ... 249996.67125307
 249997.31600459 249998.65472541]",[0.19146304 2.53329644 0.36235989 ... 0.64475151 1.33872082 2.60018863]
212,1,tDistribution,"[ 10000.69726282  10003.59968656  10003.7973218  ... 249997.68959023
 249998.28131651 249998.56328916]",[2.90242374 0.19763524 0.12895478 ... 0.59172628 0.28197265 2.15645364]
213,1,tDistribution,"[ 10000.73708611  10000.88147986  10003.73326015 ... 249997.23009648
 249998.03954267 249999.9483754 ]",[0.14439376 2.85178029 1.73399127 ... 0.80944619 1.90883274 1.54577162]
214,1,tDistribution,"[ 10000.75243958  10005.4829264   10006.71118588 ... 249994.06379305
 249995.26075582 249998.48386884]",[4.73048682 1.22825948 0.08011595 ... 1.19696277 3.22311303 2.13399566]
215,1,tDistribution,"[ 10000.76012653  10001.13703022  10002.15996432 ... 249998.20638274
 249998.72057197 249999.23115536]",[0.37690369 1.0229341  0.65952068 ... 0.51418923 0.5105834  1.39589667]
216,1,tDistribution,"[ 10000.77353023  10006.34669521  10006.41384358 ... 249997.6942462
 249999.30852837 249999.65909687]",[5.57316498 0.06714837 0.57360897 ... 1.61428217 0.3505685  0.36761762]
217,1,tDistribution,"[ 10000.84821178  10000.85048739  10001.29692917 ... 249996.32372596
 249999.13204848 249999.32246834]","[2.27560523e-03 4.46441780e-01 1.11149726e+00 ... 2.80832252e+00
 1.90419856e-01 3.49309259e+00]"
218,1,tDistribution,"[ 10000.84932814  10001.05335252  10001.66887943 ... 249996.39045357
 249996.59753168 249999.79382702]",[0.20402438 0.6155269  0.21399971 ... 0.20707811 3.19629534 1.18452222]
219,1,tDistribution,"[ 10000.86228382  10001.17851036  10002.33693888 ... 249998.884134
 249999.12347994 249999.28933872]",[0.31622654 1.15842853 0.15406818 ... 0.23934593 0.16585878 2.18249299]
220,1,tDistribution,"[ 10000.86558172  10001.86357284  10004.7127656  ... 249997.4875604
 249997.78990145 249999.43327117]",[0.99799113 2.84919276 1.19087491 ... 0.30234105 1.64336972 0.92981193]
221,1,tDistribution,"[ 10001.06120976  10001.79236939  10005.54087574 ... 249996.85896583
 249999.02200513 249999.62866022]",[0.73115963 3.74850635 1.07959839 ... 2.16303929 0.60665509 0.60780855]
222,1,tDistribution,"[ 10001.06254561  10002.19457943  10002.77886999 ... 249998.83542139
 249999.50101175 249999.68649165]",[1.13203382 0.58429056 0.207861   ... 0.66559036 0.18547989 0.65094101]
223,1,tDistribution,"[ 10001.09429872  10002.05962331  10002.12597894 ... 249998.17451479
 249998.65243241 249999.17157704]",[0.96532459 0.06635563 0.63335549 ... 0.47791762 0.51914464 1.1857411 ]
228,1,tDistribution,"[ 10001.18342266  10001.70662722  10003.13109851 ... 249997.05187558
 249997.13865395 249998.23998807]",[0.52320456 1.42447129 1.67470854 ... 0.08677837 1.10133411 2.14449536]
229,1,tDistribution,"[ 10001.20643033  10001.50325014  10001.61653834 ... 249995.20052954
 249997.02728654 249999.64637945]",[0.29681981 0.1132882  0.5817248  ... 1.826757   2.61909291 0.66344511]
230,1,tDistribution,"[ 10001.20935199  10001.56448773  10003.63597335 ... 249995.19438898
 249996.13316339 249999.34919728]",[0.35513574 2.07148562 0.01047557 ... 0.93877441 3.21603389 1.47606691]
231,1,tDistribution,"[ 10001.21141915  10001.82125889  10002.23681196 ... 249999.37516598
 249999.42275552 249999.69931442]",[0.60983974 0.41555306 0.19961106 ... 0.04758954 0.2765589  0.32190596]
232,1,tDistribution,"[ 10001.25393423  10002.23317577  10004.62897989 ... 249997.32960747
 249997.36354882 249997.56093665]",[0.97924154 2.39580412 0.03787639 ... 0.03394135 0.19738782 2.84576496]
233,1,tDistribution,"[ 10001.28343466  10007.28382789  10009.32287539 ... 249998.59284676
 249998.87243648 249999.31579997]",[6.00039323 2.03904751 1.24792704 ... 0.27958971 0.4433635  0.91422746]
234,1,tDistribution,"[ 10001.29559499  10002.06373353  10002.89235258 ... 249997.01742346
 249999.50214325 249999.84222005]",[0.76813854 0.82861905 0.04032291 ... 2.48471979 0.3400768  1.32636868]
235,1,tDistribution,"[ 10001.3040988   10002.91990385  10003.07044408 ... 249994.61082146
 249995.54602858 249997.78131851]",[1.61580504 0.15054023 1.62540061 ... 0.93520712 2.23528993 2.28741725]
236,1,tDistribution,"[ 10001.33914499  10003.1750395   10003.35754163 ... 249997.15238412
 249999.16942449 249999.64972561]",[1.83589451 0.18250213 2.02658093 ... 2.01704037 0.48030112 1.95634326]
241,1,tDistribution,"[ 10001.41754027  10003.3852533   10004.95668553 ... 249997.19998056
 249997.8991928  249999.08910908]",[1.96771302 1.57143224 5.2953948  ... 0.69921224 1.18991629 1.89348226]
242,1,tDistribution,"[ 10001.43677941  10001.45065205  10002.349147   ... 249998.25488454
 249999.74391314 249999.98143569]",[0.01387265 0.89849495 1.98837696 ... 1.4890286  0.23752255 2.12248157]
243,1,tDistribution,"[ 10001.45630071  10003.98517833  10004.54695755 ... 249996.83091532
 249997.12409056 249998.9079288 ]",[2.52887761 0.56177922 0.70444889 ... 0.29317524 1.78383824 1.31613142]
244,1,tDistribution,"[ 10001.54852068  10004.46056747  10004.56766095 ... 249997.80193915
 249997.88567348 249998.90776223]",[2.9120468  0.10709348 0.49654365 ... 0.08373433 1.02208875 1.51133999]
245,1,tDistribution,"[ 10001.58739154  10001.87813476  10002.85142445 ... 249997.62525318
 249997.8038268  249999.83553579]",[0.29074322 0.97328969 2.08560363 ... 0.17857362 2.031709   1.29976109]
246,1,tDistribution,"[ 10001.60843377  10002.22288563  10003.63541957 ... 249995.14006549
 249995.21300841 249997.66402888]",[0.61445186 1.41253394 0.93210662 ... 0.07294291 2.45102047 2.43607111]
247,1,tDistribution,"[ 10001.63661621  10003.46157643  10003.69664092 ... 249997.40670967
 249998.40293236 249998.41937534]",[1.82496022 0.23506449 0.88225479 ... 0.99622268 0.01644298 1.77744876]
248,1,tDistribution,"[ 10001.66797385  10002.28552017  10002.39223296 ... 249995.93823413
 249997.14540242 249997.881563  ]",[0.61754632 0.10671279 1.01864343 ... 1.20716828 0.73616058 3.69151624]
249,1,tDistribution,"[ 10001.68726055  10005.29483714  10005.45419041 ... 249997.91207095
 249998.10409367 249999.82716412]",[3.60757658 0.15935327 0.28757464 ... 0.19202272 1.72307045 1.53780322]
250,1,tDistribution,"[ 10001.79492705  10002.11351953  10002.27359202 ... 249995.75652604
 249996.33345019 249996.64715364]",[0.31859248 0.16007249 0.67965857 ... 0.57692416 0.31370345 3.8061244 ]
255,1,tDistribution,"[ 10001.82925506  10003.10455787  10003.21780484 ... 249993.36592741
 249996.04969305 249996.6847548 ]",[1.27530282 0.11324696 1.17970922 ... 2.68376564 0.63506175 5.17859844]
256,1,tDistribution,"[ 10001.90060823  10003.22998836  10006.48290447 ... 249997.39514683
 249997.81721138 249999.51996255]",[1.32938013 3.25291611 0.29755638 ... 0.42206455 1.70275117 0.8161286 ]
257,1,tDistribution,"[ 10001.90834935  10002.44985868  10003.96713924 ... 249996.07196517
 249997.79292387 249999.09474482]",[0.54150933 1.51728056 0.76507229 ... 1.7209587  1.30182095 2.53650515]
258,1,tDistribution,"[ 10002.10362044  10003.89666258  10004.10088016 ... 249996.22817388
 249996.78952821 249998.40548924]",[1.79304215 0.20421757 0.49904957 ... 0.56135433 1.61596103 3.57448068]
259,1,tDistribution,"[ 10002.15819572  10002.54514154  10002.5465404  ... 249992.80211401
 249995.61265364 249997.71516424]","[3.86945820e-01 1.39885937e-03 1.73977108e-01 ... 2.81053962e+00
 2.10251060e+00 3.13513148e+00]"
260,1,tDistribution,"[ 10002.15860483  10003.53967229  10006.12095305 ... 249998.4445643
 249998.94836876 249999.78432859]",[1.38106746 2.58128076 1.96090313 ... 0.50380446 0.83595983 0.43420904]
261,1,tDistribution,"[ 10002.20167843  10005.053425    10007.53483807 ... 249997.35845671
 249997.65913816 249999.14768807]",[2.85174657 2.48141306 0.17965958 ... 0.30068146 1.48854991 1.85579467]
