run,module,name,value
0,aircraft[0].dataLink[103],actualCapacity,9043.3712984055
0,aircraft[0].dataLink[104],actualCapacity,9023.7595907928
0,aircraft[0].dataLink[105],actualCapacity,8975.2557544757
0,aircraft[0].dataLink[106],actualCapacity,8970.0895140665
0,aircraft[0].dataLink[107],actualCapacity,9004.3324808184
0,aircraft[0].dataLink[108],actualCapacity,9064.1527446301
0,aircraft[0].dataLink[109],actualCapacity,9020.1208530806
0,aircraft[0].dataLink[110],actualCapacity,9032.3222506394
0,aircraft[0].dataLink[111],actualCapacity,8985.0383631714
0,aircraft[0].dataLink[112],actualCapacity,9007.3435294118
0,aircraft[0].dataLink[113],actualCapacity,9021.1713554987
0,aircraft[0].dataLink[114],actualCapacity,9043.4092071611
0,aircraft[0].dataLink[115],actualCapacity,9040.5421994885
0,aircraft[0].dataLink[116],actualCapacity,9176.8985200846
0,aircraft[0].dataLink[117],actualCapacity,9016.3119266055
0,aircraft[0].dataLink[118],actualCapacity,8984.6624040921
0,aircraft[0].dataLink[119],actualCapacity,8949.895140665
0,aircraft[0].dataLink[120],actualCapacity,8940.2890025575
0,aircraft[0].dataLink[121],actualCapacity,9021.8
0,aircraft[0].dataLink[122],actualCapacity,9015.0997442455
0,aircraft[0].dataLink[123],actualCapacity,9071.4654731458
0,aircraft[0].dataLink[124],actualCapacity,9076.2943925234
0,aircraft[0].dataLink[125],actualCapacity,9155.9447004608
0,aircraft[0].dataLink[126],actualCapacity,9004.1202046036
0,aircraft[0].dataLink[127],actualCapacity,9013.5115089514
0,aircraft[0].dataLink[128],actualCapacity,9008.2173913043
0,aircraft[0].dataLink[129],actualCapacity,9013.7749360614
0,aircraft[0].dataLink[130],actualCapacity,8974.2020460358
0,aircraft[0].dataLink[131],actualCapacity,9005.9795396419
0,aircraft[0].dataLink[132],actualCapacity,8967.9820971867
0,aircraft[0].dataLink[133],actualCapacity,8959.3324808184
0,aircraft[0].dataLink[134],actualCapacity,9027.5601023018
0,aircraft[0].dataLink[135],actualCapacity,9051.6563981043
0,aircraft[0].dataLink[136],actualCapacity,9052.2071611253
0,aircraft[0].dataLink[137],actualCapacity,8912.9923273657
0,aircraft[0].dataLink[138],actualCapacity,9076.2586605081
0,aircraft[0].dataLink[139],actualCapacity,9031.2480818414
0,aircraft[0].dataLink[140],actualCapacity,8939.3299232737
0,aircraft[0].dataLink[141],actualCapacity,9096.5894495413
0,aircraft[0].dataLink[142],actualCapacity,8981.8644501279
0,aircraft[0].dataLink[143],actualCapacity,9024.4345794393
0,aircraft[0].dataLink[144],actualCapacity,9067.0023584906
0,aircraft[0].dataLink[145],actualCapacity,9068.9261904762
0,aircraft[0].dataLink[146],actualCapacity,8982.5166240409
0,aircraft[0].dataLink[147],actualCapacity,9103.7723004695
0,aircraft[0].dataLink[148],actualCapacity,8954.1125319693
0,aircraft[0].dataLink[149],actualCapacity,8931.8363171356
0,aircraft[0].dataLink[150],actualCapacity,9020.452685422
0,aircraft[0].dataLink[151],actualCapacity,9042.0997442455
0,aircraft[0].dataLink[152],actualCapacity,9077.0895140665
0,aircraft[0].dataLink[153],actualCapacity,9197.8474226804
0,aircraft[0].dataLink[154],actualCapacity,9015.6751918159
0,aircraft[0].dataLink[155],actualCapacity,9044.7279069767
0,aircraft[0].dataLink[156],actualCapacity,9066.2600472813
0,aircraft[0].dataLink[157],actualCapacity,8934.3474178404
0,aircraft[0].dataLink[158],actualCapacity,8993.3989769821
0,aircraft[0].dataLink[159],actualCapacity,8970.6857798165
0,aircraft[0].dataLink[160],actualCapacity,9094.8812351544
0,aircraft[0].dataLink[161],actualCapacity,9019.6035805627
0,aircraft[0].dataLink[162],actualCapacity,8946.6496163683
0,aircraft[0].dataLink[163],actualCapacity,8965.2225063939
0,aircraft[0].dataLink[164],actualCapacity,9006.1483375959
0,aircraft[0].dataLink[165],actualCapacity,8912.0613810742
0,aircraft[0].dataLink[166],actualCapacity,9154.9567901235
0,aircraft[0].dataLink[167],actualCapacity,9017.8491048593
0,aircraft[0].dataLink[168],actualCapacity,9042.179028133
0,aircraft[0].dataLink[169],actualCapacity,9080.3839662447
0,aircraft[0].dataLink[170],actualCapacity,8999.2966751918
0,aircraft[0].dataLink[171],actualCapacity,9139.7593457944
0,aircraft[0].dataLink[172],actualCapacity,9008.2173913043
0,aircraft[0].dataLink[173],actualCapacity,9034.73657289
0,aircraft[0].dataLink[174],actualCapacity,9010.3094629156
0,aircraft[0].dataLink[175],actualCapacity,8986.2864450128
0,aircraft[0].dataLink[176],actualCapacity,9075.7877237852
0,aircraft[0].dataLink[177],actualCapacity,9053.1906976744
0,aircraft[0].dataLink[178],actualCapacity,9001.8581395349
0,aircraft[0].dataLink[179],actualCapacity,9207.1023622047
0,aircraft[0].dataLink[180],actualCapacity,9098.0181818182
0,aircraft[0].dataLink[181],actualCapacity,8977.1329923274
0,aircraft[0].dataLink[182],actualCapacity,9021.0051150895
0,aircraft[0].dataLink[183],actualCapacity,8970.7340153453
0,aircraft[0].dataLink[184],actualCapacity,9059.1611253197
0,aircraft[0].dataLink[185],actualCapacity,9028.5754475703
0,aircraft[0].dataLink[186],actualCapacity,9051.621483376
0,aircraft[0].dataLink[187],actualCapacity,9232.9018518519
0,aircraft[0].dataLink[188],actualCapacity,8928.7468030691
0,aircraft[0].dataLink[189],actualCapacity,9019.5677749361
0,aircraft[0].dataLink[190],actualCapacity,9093.6055684455
0,aircraft[0].dataLink[191],actualCapacity,9018.9335038363
0,aircraft[0].dataLink[192],actualCapacity,9004.2941176471
0,aircraft[0].dataLink[193],actualCapacity,8981.2710997442
0,aircraft[0].dataLink[194],actualCapacity,9004.989769821
0,aircraft[0].dataLink[195],actualCapacity,9077.0375586854
0,aircraft[0].dataLink[196],actualCapacity,8973.4859335038
0,aircraft[0].dataLink[197],actualCapacity,9118.7369614512
0,aircraft[0].dataLink[198],actualCapacity,8981.7621483376
0,aircraft[0].dataLink[199],actualCapacity,8965.1483375959
0,aircraft[0].dataLink[200],actualCapacity,8948.7621483376
0,aircraft[0].dataLink[201],actualCapacity,8997.4373401535
0,aircraft[0].dataLink[202],actualCapacity,9038.8752886836
0,aircraft[0].dataLink[203],actualCapacity,9053.3145780051
0,aircraft[0].dataLink[204],actualCapacity,9007.7544757033
0,aircraft[0].dataLink[205],actualCapacity,9040.3836317136
0,aircraft[0].dataLink[206],actualCapacity,9106.9474885845
0,aircraft[0].dataLink[207],actualCapacity,9066.8111888112
0,aircraft[0].dataLink[208],actualCapacity,9112.6979405034
0,aircraft[0].dataLink[209],actualCapacity,9164.012793177
0,aircraft[0].dataLink[210],actualCapacity,8968.5933503836
0,aircraft[0].dataLink[211],actualCapacity,9037.4475703325
0,aircraft[0].dataLink[212],actualCapacity,9014.0536130536
0,aircraft[0].dataLink[213],actualCapacity,8975.6854460094
0,aircraft[0].dataLink[214],actualCapacity,9133.9061784897
0,aircraft[0].dataLink[215],actualCapacity,9009.3529411765
0,aircraft[0].dataLink[216],actualCapacity,9066.5552995392
0,aircraft[0].dataLink[217],actualCapacity,9031.7494089835
0,aircraft[0].dataLink[218],actualCapacity,9101.9336492891
0,aircraft[0].dataLink[219],actualCapacity,9038.1406649616
0,aircraft[0].dataLink[220],actualCapacity,8965.7774936061
0,aircraft[0].dataLink[221],actualCapacity,9066.9744136461
0,aircraft[0].dataLink[222],actualCapacity,9135.3789954338
0,aircraft[0].dataLink[223],actualCapacity,9024.0997442455
0,aircraft[0].dataLink[224],actualCapacity,9020.3120567376
0,aircraft[0].dataLink[225],actualCapacity,9019.368286445
0,aircraft[0].dataLink[226],actualCapacity,9080.0184757506
0,aircraft[0].dataLink[227],actualCapacity,9123.7751605996
0,aircraft[0].dataLink[228],actualCapacity,9069.3225806452
0,aircraft[0].dataLink[229],actualCapacity,9198.8160291439
0,aircraft[0].dataLink[230],actualCapacity,8982.3299232737
0,aircraft[0].dataLink[231],actualCapacity,9025.104859335
0,aircraft[0].dataLink[232],actualCapacity,8954.1841432225
0,aircraft[0].dataLink[233],actualCapacity,8987.3375959079
0,aircraft[0].dataLink[234],actualCapacity,8913.7135549872
0,aircraft[0].dataLink[235],actualCapacity,9084.6985981308
0,aircraft[0].dataLink[236],actualCapacity,8982.7058823529
0,aircraft[0].dataLink[237],actualCapacity,8973.6393861893
0,aircraft[0].dataLink[238],actualCapacity,8973.4859335038
0,aircraft[0].dataLink[239],actualCapacity,8973.5984654731
0,aircraft[0].dataLink[240],actualCapacity,8970.9309462916
0,aircraft[0].dataLink[241],actualCapacity,8976.094629156
0,aircraft[0].dataLink[242],actualCapacity,9018.5498721228
0,aircraft[0].dataLink[243],actualCapacity,9089.8315334773
0,aircraft[0].dataLink[244],actualCapacity,9037.621483376
0,aircraft[0].dataLink[245],actualCapacity,9011.452685422
0,aircraft[0].dataLink[246],actualCapacity,8994.8030690537
0,aircraft[0].dataLink[247],actualCapacity,9012.3734015345
0,aircraft[0].dataLink[248],actualCapacity,9003.0153452685
0,aircraft[0].dataLink[249],actualCapacity,9129.7041036717
0,aircraft[0].dataLink[250],actualCapacity,9067.3333333333
0,aircraft[0].dataLink[251],actualCapacity,9015.4219948849
0,aircraft[0].dataLink[252],actualCapacity,9028.8874680307
0,aircraft[0].dataLink[253],actualCapacity,8953.3299232737
0,aircraft[0].dataLink[254],actualCapacity,9035.5652173913
0,aircraft[0].dataLink[255],actualCapacity,9003.1534526854
0,aircraft[0].dataLink[256],actualCapacity,9014.2805429864
0,aircraft[0].dataLink[257],actualCapacity,9096.1779859485
0,aircraft[0].dataLink[258],actualCapacity,8942.652173913
0,aircraft[0].dataLink[259],actualCapacity,9008.3401534527
0,aircraft[0].dataLink[260],actualCapacity,9001.3629976581
0,aircraft[0].dataLink[261],actualCapacity,8978.4552429668
0,aircraft[0].dataLink[262],actualCapacity,9011.4859335038
0,aircraft[0].dataLink[263],actualCapacity,9134.4427645788
0,aircraft[0].dataLink[264],actualCapacity,8995.831202046
0,aircraft[0].dataLink[265],actualCapacity,9018.2710997442
0,aircraft[0].dataLink[266],actualCapacity,9026.4117647059
0,aircraft[0].dataLink[267],actualCapacity,9168.9085239085
0,aircraft[0].dataLink[268],actualCapacity,9037.0792838875
0,aircraft[0].dataLink[269],actualCapacity,9100.6485260771
0,aircraft[0].dataLink[270],actualCapacity,8989.0818414322
0,aircraft[0].dataLink[271],actualCapacity,9016.8542199488
0,aircraft[0].dataLink[272],actualCapacity,9119.7172897196
0,aircraft[0].dataLink[273],actualCapacity,9004.3861892583
0,aircraft[0].dataLink[274],actualCapacity,8990.7084398977
0,aircraft[0].dataLink[275],actualCapacity,9113.50456621
0,aircraft[0].dataLink[276],actualCapacity,9010.4808184143
0,aircraft[0].dataLink[277],actualCapacity,9058.7958236659
0,aircraft[0].dataLink[278],actualCapacity,8965.4475703325
0,aircraft[0].dataLink[279],actualCapacity,9023.8439897698
0,aircraft[0].dataLink[280],actualCapacity,9125.6150627615
0,aircraft[0].dataLink[281],actualCapacity,8977.3861892583
0,aircraft[0].dataLink[282],actualCapacity,8970.8593350384
0,aircraft[0].dataLink[283],actualCapacity,9050.3836317136
0,aircraft[0].dataLink[284],actualCapacity,9031.064665127
0,aircraft[0].dataLink[285],actualCapacity,9025.9616368286
0,aircraft[0].dataLink[286],actualCapacity,8959.2864450128
0,aircraft[0].dataLink[287],actualCapacity,9001.9872122762
0,aircraft[0].dataLink[288],actualCapacity,8948.8056265985
0,aircraft[0].dataLink[289],actualCapacity,9010.9069767442
0,aircraft[0].dataLink[290],actualCapacity,8974.2122762148
0,aircraft[0].dataLink[291],actualCapacity,8925.0332480818
0,aircraft[0].dataLink[292],actualCapacity,9023.0664961637
0,aircraft[0].dataLink[293],actualCapacity,8982.3938618926
0,aircraft[0].dataLink[294],actualCapacity,8967.4143222506
0,aircraft[0].dataLink[295],actualCapacity,8927.1969309463
0,aircraft[0].dataLink[296],actualCapacity,9012.6982097187
0,aircraft[0].dataLink[297],actualCapacity,8974.1560102302
0,aircraft[0].dataLink[298],actualCapacity,9018.6035805627
0,aircraft[0].dataLink[299],actualCapacity,9025.26342711
0,aircraft[0].dataLink[300],actualCapacity,9019.5166240409
0,aircraft[0].dataLink[301],actualCapacity,9143.2018348624
0,aircraft[0].dataLink[302],actualCapacity,8981.8516624041
0,aircraft[0].dataLink[303],actualCapacity,9150.5450643777
0,aircraft[0].dataLink[304],actualCapacity,8973.6854219949
0,aircraft[0].dataLink[305],actualCapacity,9000.9820971867
0,aircraft[0].dataLink[306],actualCapacity,9185.4384133612
0,aircraft[0].dataLink[307],actualCapacity,8949.2046035806
0,aircraft[0].dataLink[308],actualCapacity,8993.9514066496
0,aircraft[0].dataLink[309],actualCapacity,9140.1753986333
0,aircraft[0].dataLink[310],actualCapacity,9145.2080808081
0,aircraft[0].dataLink[311],actualCapacity,9020.283887468
0,aircraft[0].dataLink[312],actualCapacity,8998.6547314578
0,aircraft[0].dataLink[313],actualCapacity,9043.6223776224
0,aircraft[0].dataLink[314],actualCapacity,9062.0792838875
0,aircraft[0].dataLink[315],actualCapacity,8995.5447570332
0,aircraft[0].dataLink[316],actualCapacity,9110.2680652681
0,aircraft[0].dataLink[317],actualCapacity,9054.9079283887
0,aircraft[0].dataLink[318],actualCapacity,8963.3196930946
0,aircraft[0].dataLink[319],actualCapacity,9004.7826086957
0,aircraft[0].dataLink[320],actualCapacity,9046.2586605081
0,aircraft[0].dataLink[321],actualCapacity,9054.7790697674
0,aircraft[0].dataLink[322],actualCapacity,8963.378516624
0,aircraft[0].dataLink[323],actualCapacity,9062.6271551724
0,aircraft[0].dataLink[324],actualCapacity,9015.8158567775
0,aircraft[0].dataLink[325],actualCapacity,9019.3043478261
0,aircraft[0].dataLink[326],actualCapacity,8993.5268542199
0,aircraft[0].dataLink[327],actualCapacity,9006.9718670077
0,aircraft[0].dataLink[328],actualCapacity,8990.6777493606
0,aircraft[0].dataLink[329],actualCapacity,8998.737704918
0,aircraft[0].dataLink[330],actualCapacity,9033.0690537084
0,aircraft[0].dataLink[331],actualCapacity,9013.2352941176
0,aircraft[0].dataLink[332],actualCapacity,9007.6184834123
0,aircraft[0].dataLink[333],actualCapacity,8913.0127877238
0,aircraft[0].dataLink[334],actualCapacity,9069.3017902813
0,aircraft[0].dataLink[335],actualCapacity,9031.2429667519
0,aircraft[0].dataLink[336],actualCapacity,8993.1150895141
0,aircraft[0].dataLink[337],actualCapacity,8941.8900255754
0,aircraft[0].dataLink[338],actualCapacity,9003.1150895141
0,aircraft[0].dataLink[339],actualCapacity,9009.0818414322
0,aircraft[0].dataLink[340],actualCapacity,9079.1278772379
0,aircraft[0].dataLink[341],actualCapacity,8980.7749360614
0,aircraft[0].dataLink[342],actualCapacity,9030.4757033248
0,aircraft[0].dataLink[343],actualCapacity,9015.2531969309
0,aircraft[0].dataLink[344],actualCapacity,8972.7851662404
0,aircraft[0].dataLink[345],actualCapacity,8941.5063938619
0,aircraft[0].dataLink[346],actualCapacity,8974.6138107417
0,aircraft[0].dataLink[347],actualCapacity,9065.647597254
0,aircraft[0].dataLink[348],actualCapacity,9092.2660550459
0,aircraft[0].dataLink[349],actualCapacity,9005.3861892583
0,aircraft[0].dataLink[350],actualCapacity,8953.2173913043
0,aircraft[0].dataLink[351],actualCapacity,8958.1099744246
0,aircraft[0].dataLink[352],actualCapacity,8979.8470873786
0,aircraft[0].dataLink[353],actualCapacity,8999.0025575448
0,aircraft[0].dataLink[354],actualCapacity,9080.7317647059
0,aircraft[0].dataLink[355],actualCapacity,8962.8235294118
0,aircraft[0].dataLink[356],actualCapacity,8994.0409207161
0,aircraft[0].dataLink[357],actualCapacity,8984.5629290618
0,aircraft[0].dataLink[358],actualCapacity,8929.5677749361
0,aircraft[0].dataLink[359],actualCapacity,9057.1488372093
0,aircraft[0].dataLink[360],actualCapacity,8991.2173913043
0,aircraft[0].dataLink[361],actualCapacity,9360.8141025641
0,aircraft[0].dataLink[362],actualCapacity,8954.0434782609
0,aircraft[0].dataLink[363],actualCapacity,8907.8260869565
0,aircraft[0].dataLink[364],actualCapacity,9101.2020460358
0,aircraft[0].dataLink[365],actualCapacity,8975.0409207161
0,aircraft[0].dataLink[366],actualCapacity,8987.8874680307
0,aircraft[0].dataLink[367],actualCapacity,9061.2453703704
0,aircraft[0].dataLink[368],actualCapacity,8947.1074168798
0,aircraft[0].dataLink[369],actualCapacity,8990.4347826087
0,aircraft[0].dataLink[370],actualCapacity,8958.5345268542
0,aircraft[0].dataLink[371],actualCapacity,9097.2366589327
0,aircraft[0].dataLink[372],actualCapacity,9033.9328703704
0,aircraft[0].dataLink[373],actualCapacity,9074.6517647059
0,aircraft[0].dataLink[374],actualCapacity,9032.3938618926
0,aircraft[0].dataLink[375],actualCapacity,8964.199488491
0,aircraft[0].dataLink[376],actualCapacity,8999.5319693095
0,aircraft[0].dataLink[377],actualCapacity,9126.1428571429
0,aircraft[0].dataLink[378],actualCapacity,9026.2629107981
0,aircraft[0].dataLink[379],actualCapacity,8996.8260869565
0,aircraft[0].dataLink[380],actualCapacity,8932.8874680307
0,aircraft[0].dataLink[381],actualCapacity,9097.201814059
0,aircraft[0].dataLink[382],actualCapacity,8935.2864450128
0,aircraft[0].dataLink[383],actualCapacity,9084.3433476395
0,aircraft[0].dataLink[384],actualCapacity,9015.6035805627
0,aircraft[0].dataLink[385],actualCapacity,9018.820971867
0,aircraft[0].dataLink[386],actualCapacity,9065.6759259259
0,aircraft[0].dataLink[387],actualCapacity,9012.0051150895
0,aircraft[0].dataLink[388],actualCapacity,8987.3196930946
0,aircraft[0].dataLink[389],actualCapacity,8964.4680306905
0,aircraft[0].dataLink[390],actualCapacity,9069.0801886792
0,aircraft[0].dataLink[391],actualCapacity,8979.0971867008
0,aircraft[0].dataLink[392],actualCapacity,8963.3043478261
0,aircraft[0].dataLink[393],actualCapacity,8992.0818414322
0,aircraft[0].dataLink[394],actualCapacity,9075.2813238771
0,aircraft[0].dataLink[395],actualCapacity,8977.4117647059
0,aircraft[0].dataLink[396],actualCapacity,8962.0230179028
0,aircraft[0].dataLink[397],actualCapacity,9035.8976982097
0,aircraft[0].dataLink[398],actualCapacity,9113.8735362998
0,aircraft[0].dataLink[399],actualCapacity,9160.7610993658
0,aircraft[0].dataLink[400],actualCapacity,9135.1497695853
0,aircraft[0].dataLink[401],actualCapacity,8990.3452685422
0,aircraft[0].dataLink[402],actualCapacity,9044.1662404092
0,aircraft[0].dataLink[403],actualCapacity,8986.442455243
0,aircraft[0].dataLink[404],actualCapacity,9011.7109974425
0,aircraft[0].dataLink[405],actualCapacity,8979.7289002558
0,aircraft[0].dataLink[406],actualCapacity,9005.7109974425
0,aircraft[0].dataLink[407],actualCapacity,8974.8439897698
0,aircraft[0].dataLink[408],actualCapacity,9017.9462915601
0,aircraft[0].dataLink[409],actualCapacity,9015.5268542199
0,aircraft[0].dataLink[410],actualCapacity,9006.9769820972
0,aircraft[0].dataLink[411],actualCapacity,9197.4302554028
0,aircraft[0].dataLink[412],actualCapacity,9043.8976982097
0,aircraft[0].dataLink[413],actualCapacity,9074.7289719626
0,aircraft[0].dataLink[414],actualCapacity,8991.3349056604
0,aircraft[0].dataLink[415],actualCapacity,9041.2250639386
0,aircraft[0].dataLink[416],actualCapacity,9114.7083333333
0,aircraft[0].dataLink[417],actualCapacity,9058.8198614319
0,aircraft[0].dataLink[418],actualCapacity,9000.5447570332
0,aircraft[0].dataLink[419],actualCapacity,8986.5294117647
0,aircraft[0].dataLink[420],actualCapacity,8942.2378516624
0,aircraft[0].dataLink[421],actualCapacity,8997.1943127962
0,aircraft[0].dataLink[422],actualCapacity,9037.6461187215
0,aircraft[0].dataLink[423],actualCapacity,8979.7033248082
0,aircraft[0].dataLink[424],actualCapacity,8964.4398976982
0,aircraft[0].dataLink[425],actualCapacity,9037.726342711
0,aircraft[0].dataLink[426],actualCapacity,9041.8363171356
0,aircraft[0].dataLink[427],actualCapacity,8992.915601023
0,aircraft[0].dataLink[428],actualCapacity,9218.928
0,aircraft[0].dataLink[429],actualCapacity,8945.2429667519
0,aircraft[0].dataLink[430],actualCapacity,8981.6445012788
0,aircraft[0].dataLink[431],actualCapacity,9016.0230179028
0,aircraft[0].dataLink[432],actualCapacity,9098.9130434783
0,aircraft[0].dataLink[433],actualCapacity,8989.8670076726
0,aircraft[0].dataLink[434],actualCapacity,9090.1850117096
0,aircraft[0].dataLink[435],actualCapacity,9082.4906976744
0,aircraft[0].dataLink[436],actualCapacity,9013.3964194373
0,aircraft[0].dataLink[437],actualCapacity,9148.1945031712
0,aircraft[0].dataLink[438],actualCapacity,8944.358056266
0,aircraft[0].dataLink[439],actualCapacity,9061.1534526854
0,aircraft[0].dataLink[440],actualCapacity,8992.4168797954
0,aircraft[0].dataLink[441],actualCapacity,8960.26342711
0,aircraft[0].dataLink[442],actualCapacity,8959.7672634271
0,aircraft[0].dataLink[443],actualCapacity,9061.7621483376
0,aircraft[0].dataLink[444],actualCapacity,9039.4705882353
0,aircraft[0].dataLink[445],actualCapacity,8993.5677749361
0,aircraft[0].dataLink[446],actualCapacity,9045.656612529
0,aircraft[0].dataLink[447],actualCapacity,9087.3309692671
0,aircraft[0].dataLink[448],actualCapacity,9026.7800511509
0,aircraft[0].dataLink[449],actualCapacity,8986.0076726343
0,aircraft[0].dataLink[450],actualCapacity,9129.9978902954
0,aircraft[0].dataLink[451],actualCapacity,9005.7468030691
