aircraft,throughput,serviceTime
aircraft[0].dataLink[0],38.49,1.9402442224647748e-05
aircraft[1].dataLink[6],39.2175,1.9547240044066748e-05
aircraft[0].dataLink[4],38.9025,1.945866049324525e-05
aircraft[1].dataLink[0],38.605,1.9565279524242748e-05
aircraft[0].dataLink[5],38.79,1.9556202103737002e-05
aircraft[1].dataLink[1],39.0025,1.954241167421525e-05
aircraft[0].dataLink[3],39.1575,1.9564708735936503e-05
aircraft[1].dataLink[3],39.075,1.952401664765025e-05
aircraft[0].dataLink[2],39.365,1.954291977401025e-05
aircraft[1].dataLink[9],38.8925,1.9469647613229e-05
aircraft[0].dataLink[5],39.3275,1.9606366471781e-05
aircraft[1].dataLink[0],38.95,1.951968102166925e-05
aircraft[0].dataLink[3],38.7575,1.949420766516375e-05
aircraft[1].dataLink[8],38.52,1.950781851950475e-05
aircraft[0].dataLink[8],38.9025,1.94476195344985e-05
aircraft[1].dataLink[8],38.8475,1.937686646912575e-05
aircraft[0].dataLink[5],39.3325,1.95035222841475e-05
aircraft[1].dataLink[3],39.04,1.946180133359625e-05
aircraft[0].dataLink[6],39.4275,1.9524161263784253e-05
aircraft[1].dataLink[8],38.7675,1.938539839230125e-05
aircraft[0].dataLink[6],39.25,1.953404786565975e-05
aircraft[1].dataLink[3],39.155,1.9548505031344747e-05
aircraft[0].dataLink[4],39.28,1.9555366583675753e-05
aircraft[1].dataLink[6],39.225,1.944705696119025e-05
aircraft[0].dataLink[8],39.0775,1.9410463649938e-05
aircraft[1].dataLink[9],39.7975,1.93869518411635e-05
aircraft[0].dataLink[5],39.175,1.94342089168495e-05
aircraft[1].dataLink[9],39.0375,1.936630039213375e-05
aircraft[0].dataLink[1],39.135,1.947474292358875e-05
aircraft[1].dataLink[1],38.945,1.9417611962563002e-05
aircraft[0].dataLink[2],39.065,1.944878801218725e-05
aircraft[1].dataLink[5],39.5275,1.944366428235e-05
aircraft[0].dataLink[7],38.46,1.9497254934554e-05
aircraft[1].dataLink[1],38.7675,1.94286470117585e-05
aircraft[0].dataLink[4],38.3575,1.94327047400865e-05
aircraft[1].dataLink[7],39.4625,1.95366194777845e-05
aircraft[0].dataLink[6],39.0125,1.9479743458227752e-05
aircraft[1].dataLink[3],39.0325,1.9539071288603252e-05
aircraft[0].dataLink[3],39.0675,1.9535953891189248e-05
aircraft[1].dataLink[8],38.6525,1.954944639778575e-05
aircraft[0].dataLink[8],40.1875,1.9428028019606252e-05
aircraft[1].dataLink[0],38.9825,1.936541128653375e-05
aircraft[0].dataLink[9],38.855,1.960979123216025e-05
aircraft[1].dataLink[1],39.365,1.94900026930285e-05
aircraft[0].dataLink[2],39.05,1.9463821509343248e-05
aircraft[1].dataLink[4],38.655,1.9602882702060997e-05
aircraft[0].dataLink[8],39.64,1.9485394679091252e-05
aircraft[1].dataLink[3],39.3075,1.9431517017826e-05
aircraft[0].dataLink[9],39.325,1.94170275894435e-05
aircraft[1].dataLink[3],39.015,1.94638520638435e-05
aircraft[0].dataLink[0],39.015,1.937944362361025e-05
aircraft[1].dataLink[0],39.175,1.944271480953775e-05
aircraft[0].dataLink[6],38.8375,1.94882778559335e-05
aircraft[1].dataLink[3],39.055,1.9446055766849502e-05
aircraft[0].dataLink[3],38.2575,1.95507722204095e-05
aircraft[1].dataLink[1],39.1725,1.9679419017053503e-05
aircraft[0].dataLink[4],39.4575,1.960241790799225e-05
aircraft[1].dataLink[9],39.31,1.966273181658575e-05
aircraft[0].dataLink[4],39.1875,1.9492116629575002e-05
aircraft[1].dataLink[7],39.1025,1.964074381187175e-05
aircraft[0].dataLink[3],38.6625,1.9375905869088e-05
aircraft[1].dataLink[1],39.0625,1.95896634047075e-05
aircraft[0].dataLink[9],38.905,1.933041220696625e-05
aircraft[1].dataLink[7],38.675,1.9452900380737252e-05
aircraft[0].dataLink[7],39.4425,1.951450594398075e-05
aircraft[1].dataLink[4],39.075,1.946195474269975e-05
aircraft[0].dataLink[2],39.8575,1.94979669675525e-05
aircraft[1].dataLink[6],38.775,1.95039932429475e-05
aircraft[0].dataLink[5],39.12,1.9544004923281253e-05
aircraft[1].dataLink[3],38.8275,1.949470433525025e-05
aircraft[0].dataLink[9],39.41,1.96304661518405e-05
aircraft[1].dataLink[7],38.825,1.9437212169508752e-05
aircraft[0].dataLink[5],38.6925,1.955731026810725e-05
aircraft[1].dataLink[2],38.615,1.9463694419382002e-05
aircraft[0].dataLink[6],39.3525,1.958617010048825e-05
aircraft[1].dataLink[5],38.7425,1.9620710130742748e-05
aircraft[0].dataLink[5],39.1525,1.951022704841e-05
aircraft[1].dataLink[0],38.9525,1.944887504660775e-05
aircraft[0].dataLink[3],39.0475,1.9506138709307748e-05
aircraft[1].dataLink[5],39.3125,1.953818805623275e-05
aircraft[0].dataLink[6],39.15,1.944939430582875e-05
aircraft[1].dataLink[3],39.1875,1.94965164224075e-05
aircraft[0].dataLink[9],39.0525,1.947042604315675e-05
aircraft[1].dataLink[8],39.0825,1.974510441211575e-05
aircraft[0].dataLink[8],39.51,1.952411932170825e-05
aircraft[1].dataLink[9],39.2275,1.9449028411956e-05
aircraft[0].dataLink[9],38.755,1.956867672919375e-05
aircraft[1].dataLink[1],39.28,1.9588728170348498e-05
aircraft[0].dataLink[6],38.795,1.942462774006025e-05
aircraft[1].dataLink[4],39.055,1.948618586933875e-05
aircraft[0].dataLink[1],38.6975,1.947798199989825e-05
aircraft[1].dataLink[0],39.0,1.9537989375042748e-05
aircraft[0].dataLink[1],39.335,1.952840099063325e-05
aircraft[1].dataLink[5],38.62,1.941215090159075e-05
