aircraft,throughput,serviceTime,queueLength
aircraft[0].dataLink[275],0.1175,1.77871538186215e-05,0.1063829787234
aircraft[0].dataLink[277],0.1,1.839061839241375e-05,0.05
aircraft[0].dataLink[280],0.2175,1.8319049824857e-05,0.10344827586207
aircraft[0].dataLink[284],0.105,1.9022025620604e-05,0.071428571428571
aircraft[0].dataLink[289],0.0975,1.90610172167495e-05,0.23076923076923
aircraft[0].dataLink[301],0.1125,1.7672901224428e-05,0.0
aircraft[0].dataLink[303],0.1875,1.756367003212325e-05,0.066666666666667
aircraft[0].dataLink[306],0.22,1.7644344465266e-05,0.079545454545455
aircraft[0].dataLink[309],0.12,1.7600433234861e-05,0.14583333333333
aircraft[0].dataLink[310],0.26,1.795580315815025e-05,0.125
aircraft[0].dataLink[313],0.095,1.836671373280675e-05,0.026315789473684
aircraft[0].dataLink[316],0.095,1.766443611536525e-05,0.026315789473684
aircraft[0].dataLink[320],0.105,1.877170198658575e-05,0.023809523809524
aircraft[0].dataLink[321],0.0975,1.81011898377505e-05,0.0
aircraft[0].dataLink[323],0.1825,1.833979925583175e-05,0.12328767123288
aircraft[0].dataLink[329],0.09,1.883202995988e-05,0.38888888888889
aircraft[0].dataLink[332],0.0775,1.842207773898925e-05,0.032258064516129
aircraft[0].dataLink[347],0.115,1.756181815992425e-05,0.021739130434783
aircraft[0].dataLink[348],0.1125,1.773179621478325e-05,0.022222222222222
aircraft[0].dataLink[352],0.0525,1.76154061053355e-05,0.0
aircraft[0].dataLink[354],0.085,1.7876687554011002e-05,0.0
aircraft[0].dataLink[357],0.115,2.0579022972421248e-05,0.043478260869565
aircraft[0].dataLink[359],0.0975,1.827859564056775e-05,0.17948717948718
aircraft[0].dataLink[361],0.5825,1.75725456666205e-05,0.017167381974249
aircraft[0].dataLink[367],0.1025,1.7573046338778e-05,0.048780487804878
aircraft[0].dataLink[371],0.1,1.7589535668618753e-05,0.075
aircraft[0].dataLink[372],0.1025,1.8644203459813e-05,0.17073170731707
aircraft[0].dataLink[373],0.085,1.7987417248367e-05,0.0
aircraft[0].dataLink[377],0.125,1.79464211385795e-05,0.12
aircraft[0].dataLink[378],0.0875,1.8235751774266e-05,0.11428571428571
aircraft[0].dataLink[381],0.125,1.754917551705675e-05,0.04
aircraft[0].dataLink[383],0.1875,1.86297949325725e-05,0.14666666666667
aircraft[0].dataLink[386],0.1025,1.7902794017611998e-05,0.0
aircraft[0].dataLink[390],0.0825,1.8154705114797e-05,0.0
aircraft[0].dataLink[394],0.08,1.791213712218e-05,0.09375
aircraft[0].dataLink[398],0.09,1.7793200946946e-05,0.083333333333333
aircraft[0].dataLink[399],0.205,1.764654086890325e-05,0.060975609756098
aircraft[0].dataLink[400],0.1075,1.77772144273095e-05,0.11627906976744
aircraft[0].dataLink[411],0.295,1.75463272206545e-05,0.0084745762711864
aircraft[0].dataLink[413],0.0925,1.8264454082692752e-05,0.054054054054054
aircraft[0].dataLink[414],0.0825,1.9914995608222753e-05,0.03030303030303
aircraft[0].dataLink[416],0.1025,1.81235475896515e-05,0.0
aircraft[0].dataLink[417],0.105,1.7689911652954e-05,0.023809523809524
aircraft[0].dataLink[421],0.0775,1.992442821278475e-05,0.0
aircraft[0].dataLink[422],0.1175,1.778591277202325e-05,0.021276595744681
aircraft[0].dataLink[428],0.2725,1.7583933405633e-05,0.027522935779817
aircraft[0].dataLink[432],0.115,1.769207065923475e-05,0.08695652173913
aircraft[0].dataLink[434],0.09,1.78018810079885e-05,0.0
aircraft[0].dataLink[435],0.0975,1.757807983195575e-05,0.051282051282051
aircraft[0].dataLink[437],0.205,1.784156837874475e-05,0.10975609756098
aircraft[0].dataLink[446],0.1,1.820557096222775e-05,0.025
aircraft[0].dataLink[447],0.08,1.764186756796775e-05,0.0
aircraft[0].dataLink[450],0.2075,1.792749631409825e-05,0.036144578313253
aircraft[0].dataLink[454],0.245,1.774757490806525e-05,0.071428571428571
aircraft[0].dataLink[455],0.11,1.7546526195638e-05,0.022727272727273
aircraft[0].dataLink[457],0.085,1.781013514227725e-05,0.029411764705882
aircraft[0].dataLink[460],0.1075,1.75814480529655e-05,0.0
aircraft[0].dataLink[468],0.425,1.7709947389208e-05,0.052941176470588
aircraft[0].dataLink[474],0.115,1.75852764460955e-05,0.021739130434783
aircraft[0].dataLink[476],0.21,1.757169374007525e-05,0.023809523809524
aircraft[0].dataLink[478],0.0975,1.90101116838725e-05,0.12820512820513
aircraft[0].dataLink[480],0.1925,1.808245638397875e-05,0.090909090909091
aircraft[0].dataLink[481],0.1075,1.8433643056240748e-05,0.0
aircraft[0].dataLink[489],0.285,1.791355706100775e-05,0.043859649122807
aircraft[0].dataLink[490],0.07,1.99171062756445e-05,0.14285714285714
aircraft[0].dataLink[494],0.3175,1.7580879452776748e-05,0.015748031496063
aircraft[0].dataLink[500],0.0925,1.7560466620714e-05,0.0
aircraft[0].dataLink[502],0.1225,1.768186367693325e-05,0.020408163265306
aircraft[0].dataLink[511],0.1175,1.8039389527422e-05,0.021276595744681
aircraft[0].dataLink[513],0.1,1.7561994574005e-05,0.05
aircraft[0].dataLink[514],0.0875,1.7855304085260252e-05,0.0
aircraft[0].dataLink[524],0.11,2.1200995443903752e-05,0.13636363636364
