aircraft,throughput,serviceTime,queueLength
aircraft[0].dataLink[0],0.1025,1.99858220926195e-05,0.048780487804878
aircraft[0].dataLink[3],0.0925,1.799447966604625e-05,0.21621621621622
aircraft[0].dataLink[4],0.205,1.86380371192575e-05,0.13414634146341
aircraft[0].dataLink[6],0.095,1.855335038382075e-05,0.0
aircraft[0].dataLink[7],0.185,1.811275567678625e-05,0.040540540540541
aircraft[0].dataLink[8],0.3175,1.78908918598025e-05,0.05511811023622
aircraft[0].dataLink[9],0.21,1.8078441985962748e-05,0.095238095238095
aircraft[0].dataLink[12],0.2175,1.78061798085745e-05,0.045977011494253
aircraft[0].dataLink[13],0.29,1.8251468308407998e-05,0.086206896551724
aircraft[0].dataLink[14],0.185,1.776224600780625e-05,0.13513513513514
aircraft[0].dataLink[15],0.41,1.78297306175225e-05,0.01219512195122
aircraft[0].dataLink[16],0.3775,1.820867125199875e-05,0.092715231788079
aircraft[0].dataLink[17],0.36,1.7601832007929e-05,0.027777777777778
aircraft[0].dataLink[19],0.1775,1.9306855887087502e-05,0.042253521126761
aircraft[0].dataLink[20],0.0975,1.814031585418175e-05,0.17948717948718
aircraft[0].dataLink[22],0.085,1.978155859550975e-05,0.0
aircraft[0].dataLink[23],0.735,1.82589975900275e-05,0.034013605442177
aircraft[0].dataLink[24],0.205,1.83179299003365e-05,0.024390243902439
aircraft[0].dataLink[25],0.115,1.795810552054625e-05,0.021739130434783
aircraft[0].dataLink[26],0.605,1.813739674351925e-05,0.053719008264463
aircraft[0].dataLink[27],0.1075,1.9517823277578752e-05,0.069767441860465
aircraft[0].dataLink[28],0.115,1.97696462023045e-05,0.0
aircraft[0].dataLink[29],0.095,1.843224722948475e-05,0.10526315789474
aircraft[0].dataLink[31],0.095,1.8238364989166502e-05,0.026315789473684
aircraft[0].dataLink[32],0.075,1.767843609876875e-05,0.066666666666667
aircraft[0].dataLink[33],0.305,1.801253864878575e-05,0.11475409836066
aircraft[0].dataLink[34],0.615,1.775764059758375e-05,0.10569105691057
aircraft[0].dataLink[35],0.3375,1.781894745054575e-05,0.081481481481481
aircraft[0].dataLink[36],0.2025,1.7622681219406e-05,0.1358024691358
aircraft[0].dataLink[38],0.3175,1.78160508418885e-05,0.11811023622047
aircraft[0].dataLink[39],0.2075,1.821442642085925e-05,0.12048192771084
aircraft[0].dataLink[40],0.0875,1.905655922567425e-05,0.0
aircraft[0].dataLink[41],0.345,1.874101999757725e-05,0.1304347826087
aircraft[0].dataLink[42],0.1775,1.902948457849025e-05,0.098591549295775
aircraft[0].dataLink[43],0.235,1.81126708261465e-05,0.13829787234043
aircraft[0].dataLink[44],0.2125,1.768315029332375e-05,0.082352941176471
aircraft[0].dataLink[45],0.745,1.8115094293441502e-05,0.043624161073826
aircraft[0].dataLink[46],0.395,1.797581140456e-05,0.050632911392405
aircraft[0].dataLink[47],0.5675,1.816008391151425e-05,0.026431718061674
aircraft[0].dataLink[48],0.0925,1.778178082667725e-05,0.027027027027027
aircraft[0].dataLink[50],0.2275,1.8552526564806252e-05,0.076923076923077
aircraft[0].dataLink[51],0.475,1.828434343496025e-05,0.015789473684211
aircraft[0].dataLink[52],0.0875,1.7734529069398e-05,0.057142857142857
aircraft[0].dataLink[53],0.18,1.922298896082475e-05,0.013888888888889
aircraft[0].dataLink[55],0.055,1.9527483258816e-05,0.0
aircraft[0].dataLink[56],0.1175,1.77824862908805e-05,0.021276595744681
aircraft[0].dataLink[57],0.27,1.7854481297219e-05,0.018518518518519
aircraft[0].dataLink[58],0.13,1.7970712856077748e-05,0.038461538461538
aircraft[0].dataLink[59],0.3375,1.7650101899711002e-05,0.081481481481481
aircraft[0].dataLink[60],0.1875,1.891342374060175e-05,0.04
aircraft[0].dataLink[61],0.2775,1.759926045052875e-05,0.0
aircraft[0].dataLink[62],0.29,1.840822803669325e-05,0.0086206896551724
aircraft[0].dataLink[63],0.325,1.821538794984675e-05,0.023076923076923
aircraft[0].dataLink[64],0.125,1.76889284132445e-05,0.06
aircraft[0].dataLink[65],0.0975,1.841132144681475e-05,0.076923076923077
aircraft[0].dataLink[66],0.185,1.79428320077755e-05,0.094594594594595
aircraft[0].dataLink[69],0.195,1.77110268940255e-05,0.076923076923077
aircraft[0].dataLink[71],0.25,1.7747390978836002e-05,0.14
aircraft[0].dataLink[72],0.18,1.8447948534067e-05,0.027777777777778
aircraft[0].dataLink[75],0.0825,1.973052235003925e-05,0.0
aircraft[0].dataLink[76],0.12,1.857081815171e-05,0.0
aircraft[0].dataLink[77],0.1925,1.8293417756756748e-05,0.038961038961039
aircraft[0].dataLink[78],0.2025,1.860593533086875e-05,0.024691358024691
aircraft[0].dataLink[79],0.1125,1.8676713923289002e-05,0.022222222222222
aircraft[0].dataLink[80],0.7925,1.7912336290823002e-05,0.034700315457413
aircraft[0].dataLink[81],0.0875,1.760858028108075e-05,0.028571428571429
aircraft[0].dataLink[82],0.0875,1.788311332000025e-05,0.0
aircraft[0].dataLink[83],0.3,1.826123749792e-05,0.10833333333333
aircraft[0].dataLink[84],0.365,1.7738558584136748e-05,0.089041095890411
aircraft[0].dataLink[85],0.1025,1.909544487206875e-05,0.0
aircraft[0].dataLink[86],0.1225,1.7867821580133e-05,0.12244897959184
aircraft[0].dataLink[87],0.0825,1.7918012595437002e-05,0.03030303030303
aircraft[0].dataLink[88],0.2375,1.7737079151827e-05,0.010526315789474
aircraft[0].dataLink[89],0.31,1.80242966505745e-05,0.032258064516129
aircraft[0].dataLink[92],0.2625,1.859359741138425e-05,0.038095238095238
aircraft[0].dataLink[93],0.095,1.82401242621695e-05,0.026315789473684
aircraft[0].dataLink[94],0.1625,1.937950907316975e-05,0.030769230769231
aircraft[0].dataLink[95],0.205,1.76815533849615e-05,0.097560975609756
aircraft[0].dataLink[97],0.09,1.7591378775369e-05,0.11111111111111
aircraft[0].dataLink[98],0.31,1.849339051834725e-05,0.24193548387097
aircraft[0].dataLink[99],0.1975,1.764408012152475e-05,0.025316455696203
aircraft[0].dataLink[100],0.0925,1.756409035539925e-05,0.027027027027027
aircraft[0].dataLink[101],0.225,1.764026451675175e-05,0.022222222222222
aircraft[0].dataLink[102],0.2875,1.8486752155606748e-05,0.034782608695652
aircraft[0].dataLink[103],0.11,1.765311990755425e-05,0.11363636363636
aircraft[0].dataLink[105],0.2175,1.773741628878575e-05,0.022988505747126
aircraft[0].dataLink[106],0.3325,1.790105882533475e-05,0.075187969924812
aircraft[0].dataLink[107],0.1,1.8666061349133e-05,0.025
aircraft[0].dataLink[108],0.295,1.8379887529839e-05,0.093220338983051
aircraft[0].dataLink[109],0.08,1.790755662031125e-05,0.03125
aircraft[0].dataLink[110],0.0825,1.854457813327425e-05,0.0
aircraft[0].dataLink[111],0.1725,1.77119626558635e-05,0.043478260869565
aircraft[0].dataLink[112],0.2175,1.965429112505375e-05,0.11494252873563
aircraft[0].dataLink[113],0.6875,1.8030259910022e-05,0.0036363636363636
aircraft[0].dataLink[114],0.285,1.787291007551625e-05,0.052631578947368
aircraft[0].dataLink[115],0.11,1.775494003305075e-05,0.045454545454545
aircraft[0].dataLink[116],0.1925,1.8535291043860498e-05,0.064935064935065
aircraft[0].dataLink[117],0.115,1.8501134158767e-05,0.08695652173913
aircraft[0].dataLink[118],0.0925,1.863044130428375e-05,0.0
aircraft[0].dataLink[119],0.0875,1.77343328272175e-05,0.0
aircraft[0].dataLink[120],0.125,1.8163809651255e-05,0.06
aircraft[0].dataLink[121],0.0925,1.922556645412725e-05,0.027027027027027
aircraft[0].dataLink[122],0.205,1.8535776475773752e-05,0.036585365853659
aircraft[0].dataLink[125],0.4475,1.773394553779875e-05,0.11731843575419
aircraft[0].dataLink[126],0.2075,1.8640370217031752e-05,0.060240963855422
aircraft[0].dataLink[127],0.1875,1.89684894354145e-05,0.04
aircraft[0].dataLink[128],0.11,1.971826745711075e-05,0.045454545454545
aircraft[0].dataLink[129],0.5125,1.7841729365717e-05,0.048780487804878
aircraft[0].dataLink[130],0.1675,1.893395869043325e-05,0.014925373134328
aircraft[0].dataLink[131],0.0925,1.8722948909034e-05,0.0
aircraft[0].dataLink[134],0.445,1.778787139922775e-05,0.13483146067416
aircraft[0].dataLink[135],0.1525,1.829808855922075e-05,0.081967213114754
aircraft[0].dataLink[136],0.2,1.785643929123775e-05,0.0375
aircraft[0].dataLink[137],0.105,1.765071237355175e-05,0.023809523809524
aircraft[0].dataLink[138],0.32,1.8602757995001502e-05,0.0703125
aircraft[0].dataLink[140],0.5575,1.7916638097471752e-05,0.076233183856502
aircraft[0].dataLink[141],0.1925,1.858964567954375e-05,0.025974025974026
aircraft[0].dataLink[142],0.125,1.793168180320025e-05,0.0
aircraft[0].dataLink[143],0.1025,1.780833681703825e-05,0.097560975609756
aircraft[0].dataLink[144],0.0975,1.8086589004662998e-05,0.051282051282051
aircraft[0].dataLink[145],0.3225,1.93201598800655e-05,0.023255813953488
aircraft[0].dataLink[147],0.3,1.7745789723126e-05,0.025
aircraft[0].dataLink[148],0.505,1.90818481293485e-05,0.064356435643564
aircraft[0].dataLink[149],0.22,1.854397121851375e-05,0.045454545454545
aircraft[0].dataLink[150],0.2875,1.80460719968225e-05,0.026086956521739
aircraft[0].dataLink[151],0.325,1.78083904280495e-05,0.046153846153846
aircraft[0].dataLink[152],0.085,1.7765522030026e-05,0.029411764705882
aircraft[0].dataLink[153],0.3925,1.770308960529925e-05,0.057324840764331
aircraft[0].dataLink[154],0.1925,1.770972234004675e-05,0.038961038961039
aircraft[0].dataLink[155],0.295,1.764393823115575e-05,0.050847457627119
aircraft[0].dataLink[156],0.4775,1.826696833132525e-05,0.10994764397906
aircraft[0].dataLink[158],0.46,1.81470485204575e-05,0.03804347826087
aircraft[0].dataLink[159],0.2775,1.81373555397475e-05,0.036036036036036
aircraft[0].dataLink[160],0.2875,1.787364367284275e-05,0.052173913043478
aircraft[0].dataLink[161],0.075,1.809530963764075e-05,0.0
aircraft[0].dataLink[163],0.3425,1.781107002780675e-05,0.11678832116788
aircraft[0].dataLink[168],0.31,1.786746681337025e-05,0.024193548387097
aircraft[0].dataLink[169],0.21,1.80773518028065e-05,0.023809523809524
aircraft[0].dataLink[170],0.2125,1.770544307076425e-05,0.047058823529412
aircraft[0].dataLink[171],0.105,1.883362204462875e-05,0.047619047619048
aircraft[0].dataLink[172],0.3025,1.860617809201025e-05,0.057851239669421
aircraft[0].dataLink[173],0.2025,1.789323170993075e-05,0.024691358024691
aircraft[0].dataLink[175],0.095,1.78389541335115e-05,0.026315789473684
aircraft[0].dataLink[176],0.0925,1.871358987533825e-05,0.0
aircraft[0].dataLink[177],0.195,1.779737374657975e-05,0.11538461538462
aircraft[0].dataLink[178],0.195,1.814643956507775e-05,0.17948717948718
aircraft[0].dataLink[179],0.5925,1.7651638000149e-05,0.075949367088608
aircraft[0].dataLink[180],0.1025,2.007481711331225e-05,0.29268292682927
aircraft[0].dataLink[181],0.1175,2.01684138121805e-05,0.1063829787234
aircraft[0].dataLink[182],0.495,1.8255188024322e-05,0.085858585858586
aircraft[0].dataLink[183],0.225,1.9602782214229248e-05,0.011111111111111
aircraft[0].dataLink[184],0.29,1.843786638215375e-05,0.13793103448276
aircraft[0].dataLink[185],0.135,1.9773234084822e-05,0.25925925925926
aircraft[0].dataLink[186],0.215,1.799101731355575e-05,0.058139534883721
aircraft[0].dataLink[187],0.2175,1.82741141314775e-05,0.03448275862069
aircraft[0].dataLink[188],0.175,1.800469185268175e-05,0.071428571428571
aircraft[0].dataLink[189],0.24,1.9725023241102753e-05,0.09375
aircraft[0].dataLink[190],0.7825,1.811056653912775e-05,0.060702875399361
aircraft[0].dataLink[191],0.1125,1.8559836709228e-05,0.11111111111111
aircraft[0].dataLink[192],0.29,1.82286250668185e-05,0.077586206896552
aircraft[0].dataLink[193],0.1175,1.780006055807625e-05,0.0
aircraft[0].dataLink[195],0.1175,1.780120478524675e-05,0.1063829787234
aircraft[0].dataLink[197],0.46,1.7757268921177e-05,0.059782608695652
aircraft[0].dataLink[198],0.1125,1.772874290695375e-05,0.022222222222222
aircraft[0].dataLink[199],0.305,1.768379830676675e-05,0.065573770491803
aircraft[0].dataLink[0],0.6525,1.7789532793122252e-05,0.038314176245211
aircraft[0].dataLink[2],0.1,1.93797241948915e-05,0.0
aircraft[0].dataLink[3],0.4425,1.892721200962125e-05,0.22598870056497
aircraft[0].dataLink[5],0.4625,1.8311861251478e-05,0.043243243243243
aircraft[0].dataLink[6],0.4375,1.88179139659535e-05,0.022857142857143
aircraft[0].dataLink[8],0.1875,1.79634712452455e-05,0.053333333333333
aircraft[0].dataLink[9],0.095,1.7976404541283e-05,0.026315789473684
aircraft[0].dataLink[11],0.27,1.8275636289839e-05,0.0
aircraft[0].dataLink[12],0.41,1.8707134877482002e-05,0.036585365853659
aircraft[0].dataLink[14],0.1975,1.766525102071975e-05,0.050632911392405
aircraft[0].dataLink[15],0.225,1.79644066167295e-05,0.11111111111111
aircraft[0].dataLink[16],0.1875,1.8743288330232e-05,0.08
aircraft[0].dataLink[17],0.315,1.8266523879484e-05,0.047619047619048
aircraft[0].dataLink[19],0.1975,1.815520589094875e-05,0.037974683544304
aircraft[0].dataLink[20],0.3025,1.824542827787425e-05,0.024793388429752
aircraft[0].dataLink[21],0.59,1.794328574753825e-05,0.067796610169492
aircraft[0].dataLink[22],0.4,1.791516848389425e-05,0.03125
aircraft[0].dataLink[23],0.095,1.8384544368935e-05,0.0
aircraft[0].dataLink[24],0.1775,1.765307499457325e-05,0.084507042253521
aircraft[0].dataLink[25],0.1275,1.85740901183955e-05,0.07843137254902
aircraft[0].dataLink[27],0.415,1.78632941284825e-05,0.030120481927711
aircraft[0].dataLink[28],0.3525,1.7617261027999248e-05,0.070921985815603
aircraft[0].dataLink[29],0.4375,1.8032195488959e-05,0.10857142857143
aircraft[0].dataLink[30],0.095,1.79531429060075e-05,0.052631578947368
aircraft[0].dataLink[31],0.2475,1.8493177128719248e-05,0.02020202020202
aircraft[0].dataLink[33],0.17,1.81263320080515e-05,0.0
aircraft[0].dataLink[34],0.405,1.823265681309525e-05,0.067901234567901
